"","Series","Date","Value"
"60","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-12-01,96733227
"61","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-01-01,92604574
"62","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-02-01,95479214
"63","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-03-01,93262727
"64","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-04-01,95151129
"65","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-05-01,95612187
"66","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-06-01,91055988
"67","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-07-01,96617253
"68","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-08-01,96564630
"69","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-09-01,89270022
"70","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-10-01,98569704
"71","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-11-01,98228079
"72","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-12-01,105977488
"73","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-01-01,97081731
"74","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-02-01,94973357
"75","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-03-01,94928999
"76","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-04-01,100248918
"77","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-05-01,99013007
"78","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-06-01,95068104
"79","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-07-01,103131712
"80","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-08-01,105850099
"81","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-09-01,104799380
"82","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-10-01,100124705
"83","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-11-01,106516584
"84","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-12-01,114304894
"85","CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-01-01,110958855
