"","Series","Date","Value"
"2805","Deposits with and loans and advances to foreign banks, denominated in rand",2022-05-01,14468112
"2806","Deposits with and loans and advances to foreign banks, denominated in rand",2022-06-01,16579916
"2807","Deposits with and loans and advances to foreign banks, denominated in rand",2022-07-01,13527223
"2808","Deposits with and loans and advances to foreign banks, denominated in rand",2022-08-01,15212766
"2809","Deposits with and loans and advances to foreign banks, denominated in rand",2022-09-01,25003535
"2810","Deposits with and loans and advances to foreign banks, denominated in rand",2022-10-01,21495191
"2811","Deposits with and loans and advances to foreign banks, denominated in rand",2022-11-01,21531942
"2812","Deposits with and loans and advances to foreign banks, denominated in rand",2022-12-01,15399131
"2813","Deposits with and loans and advances to foreign banks, denominated in rand",2023-01-01,19211195
"2814","Deposits with and loans and advances to foreign banks, denominated in rand",2023-02-01,18652622
"2815","Deposits with and loans and advances to foreign banks, denominated in rand",2023-03-01,19929127
"2816","Deposits with and loans and advances to foreign banks, denominated in rand",2023-04-01,12710171
"2817","Deposits with and loans and advances to foreign banks, denominated in rand",2023-05-01,13531560
"2818","Deposits with and loans and advances to foreign banks, denominated in rand",2023-06-01,12960364
"2819","Deposits with and loans and advances to foreign banks, denominated in rand",2023-07-01,11463568
"2820","Deposits with and loans and advances to foreign banks, denominated in rand",2023-08-01,15070786
"2821","Loans granted under resale agreements to:  (total of items 119 to 125)",2008-01-01,97024969
"2822","Loans granted under resale agreements to:  (total of items 119 to 125)",2008-02-01,100887090
"2823","Loans granted under resale agreements to:  (total of items 119 to 125)",2008-03-01,102592505
"2824","Loans granted under resale agreements to:  (total of items 119 to 125)",2008-04-01,95793601
"2825","Loans granted under resale agreements to:  (total of items 119 to 125)",2008-05-01,118257260
"2826","Loans granted under resale agreements to:  (total of items 119 to 125)",2008-06-01,112739497
"2827","Loans granted under resale agreements to:  (total of items 119 to 125)",2008-07-01,117855887
"2828","Loans granted under resale agreements to:  (total of items 119 to 125)",2008-08-01,102265565
"2829","Loans granted under resale agreements to:  (total of items 119 to 125)",2008-09-01,116259682
"2830","Loans granted under resale agreements to:  (total of items 119 to 125)",2008-10-01,99920612
"2831","Loans granted under resale agreements to:  (total of items 119 to 125)",2008-11-01,96287387
"2832","Loans granted under resale agreements to:  (total of items 119 to 125)",2008-12-01,92732387
"2833","Loans granted under resale agreements to:  (total of items 119 to 125)",2009-01-01,99296398
"2834","Loans granted under resale agreements to:  (total of items 119 to 125)",2009-02-01,85812533
"2835","Loans granted under resale agreements to:  (total of items 119 to 125)",2009-03-01,85228638
"2836","Loans granted under resale agreements to:  (total of items 119 to 125)",2009-04-01,76081604
"2837","Loans granted under resale agreements to:  (total of items 119 to 125)",2009-05-01,81081355
"2838","Loans granted under resale agreements to:  (total of items 119 to 125)",2009-06-01,86128686
"2839","Loans granted under resale agreements to:  (total of items 119 to 125)",2009-07-01,90624323
"2840","Loans granted under resale agreements to:  (total of items 119 to 125)",2009-08-01,93774854
"2841","Loans granted under resale agreements to:  (total of items 119 to 125)",2009-09-01,88852111
"2842","Loans granted under resale agreements to:  (total of items 119 to 125)",2009-10-01,87093316
"2843","Loans granted under resale agreements to:  (total of items 119 to 125)",2009-11-01,79009279
"2844","Loans granted under resale agreements to:  (total of items 119 to 125)",2009-12-01,79832526
"2845","Loans granted under resale agreements to:  (total of items 119 to 125)",2010-01-01,77357077
"2846","Loans granted under resale agreements to:  (total of items 119 to 125)",2010-02-01,81488418
"2847","Loans granted under resale agreements to:  (total of items 119 to 125)",2010-03-01,82826545
"2848","Loans granted under resale agreements to:  (total of items 119 to 125)",2010-04-01,87808965
"2849","Loans granted under resale agreements to:  (total of items 119 to 125)",2010-05-01,97437871
"2850","Loans granted under resale agreements to:  (total of items 119 to 125)",2010-06-01,104507389
"2851","Loans granted under resale agreements to:  (total of items 119 to 125)",2010-07-01,92657172
"2852","Loans granted under resale agreements to:  (total of items 119 to 125)",2010-08-01,97565027
"2853","Loans granted under resale agreements to:  (total of items 119 to 125)",2010-09-01,95630638
"2854","Loans granted under resale agreements to:  (total of items 119 to 125)",2010-10-01,91526896
"2855","Loans granted under resale agreements to:  (total of items 119 to 125)",2010-11-01,98934668
"2856","Loans granted under resale agreements to:  (total of items 119 to 125)",2010-12-01,107190717
"2857","Loans granted under resale agreements to:  (total of items 119 to 125)",2011-01-01,84556438
"2858","Loans granted under resale agreements to:  (total of items 119 to 125)",2011-02-01,87532431
"2859","Loans granted under resale agreements to:  (total of items 119 to 125)",2011-03-01,90090154
"2860","Loans granted under resale agreements to:  (total of items 119 to 125)",2011-04-01,93134887
"2861","Loans granted under resale agreements to:  (total of items 119 to 125)",2011-05-01,94133176
"2862","Loans granted under resale agreements to:  (total of items 119 to 125)",2011-06-01,88829397
"2863","Loans granted under resale agreements to:  (total of items 119 to 125)",2011-07-01,87789821
"2864","Loans granted under resale agreements to:  (total of items 119 to 125)",2011-08-01,109437110
"2865","Loans granted under resale agreements to:  (total of items 119 to 125)",2011-09-01,88860749
"2866","Loans granted under resale agreements to:  (total of items 119 to 125)",2011-10-01,85541972
"2867","Loans granted under resale agreements to:  (total of items 119 to 125)",2011-11-01,89703410
"2868","Loans granted under resale agreements to:  (total of items 119 to 125)",2011-12-01,84218006
"2869","Loans granted under resale agreements to:  (total of items 119 to 125)",2012-01-01,85741382
"2870","Loans granted under resale agreements to:  (total of items 119 to 125)",2012-02-01,93777349
"2871","Loans granted under resale agreements to:  (total of items 119 to 125)",2012-03-01,94511196
"2872","Loans granted under resale agreements to:  (total of items 119 to 125)",2012-04-01,76402228
"2873","Loans granted under resale agreements to:  (total of items 119 to 125)",2012-05-01,95145821
"2874","Loans granted under resale agreements to:  (total of items 119 to 125)",2012-06-01,117440457
"2875","Loans granted under resale agreements to:  (total of items 119 to 125)",2012-07-01,131780592
"2876","Loans granted under resale agreements to:  (total of items 119 to 125)",2012-08-01,117178497
"2877","Loans granted under resale agreements to:  (total of items 119 to 125)",2012-09-01,126872820
"2878","Loans granted under resale agreements to:  (total of items 119 to 125)",2012-10-01,127474001
"2879","Loans granted under resale agreements to:  (total of items 119 to 125)",2012-11-01,136671219
"2880","Loans granted under resale agreements to:  (total of items 119 to 125)",2012-12-01,128077493
"2881","Loans granted under resale agreements to:  (total of items 119 to 125)",2013-01-01,119979453
"2882","Loans granted under resale agreements to:  (total of items 119 to 125)",2013-02-01,121152530
"2883","Loans granted under resale agreements to:  (total of items 119 to 125)",2013-03-01,112825125
"2884","Loans granted under resale agreements to:  (total of items 119 to 125)",2013-04-01,115430145
"2885","Loans granted under resale agreements to:  (total of items 119 to 125)",2013-05-01,108882006
"2886","Loans granted under resale agreements to:  (total of items 119 to 125)",2013-06-01,114383818
"2887","Loans granted under resale agreements to:  (total of items 119 to 125)",2013-07-01,113836573
"2888","Loans granted under resale agreements to:  (total of items 119 to 125)",2013-08-01,114869437
"2889","Loans granted under resale agreements to:  (total of items 119 to 125)",2013-09-01,118901485
"2890","Loans granted under resale agreements to:  (total of items 119 to 125)",2013-10-01,112017365
"2891","Loans granted under resale agreements to:  (total of items 119 to 125)",2013-11-01,144697356
"2892","Loans granted under resale agreements to:  (total of items 119 to 125)",2013-12-01,146924447
"2893","Loans granted under resale agreements to:  (total of items 119 to 125)",2014-01-01,148159758
"2894","Loans granted under resale agreements to:  (total of items 119 to 125)",2014-02-01,145559009
"2895","Loans granted under resale agreements to:  (total of items 119 to 125)",2014-03-01,145932908
"2896","Loans granted under resale agreements to:  (total of items 119 to 125)",2014-04-01,154232601
"2897","Loans granted under resale agreements to:  (total of items 119 to 125)",2014-05-01,146187805
"2898","Loans granted under resale agreements to:  (total of items 119 to 125)",2014-06-01,150996475
"2899","Loans granted under resale agreements to:  (total of items 119 to 125)",2014-07-01,141784372
"2900","Loans granted under resale agreements to:  (total of items 119 to 125)",2014-08-01,139189059
"2901","Loans granted under resale agreements to:  (total of items 119 to 125)",2014-09-01,141878159
"2902","Loans granted under resale agreements to:  (total of items 119 to 125)",2014-10-01,149075272
"2903","Loans granted under resale agreements to:  (total of items 119 to 125)",2014-11-01,143154503
"2904","Loans granted under resale agreements to:  (total of items 119 to 125)",2014-12-01,146579510
"2905","Loans granted under resale agreements to:  (total of items 119 to 125)",2015-01-01,142795021
"2906","Loans granted under resale agreements to:  (total of items 119 to 125)",2015-02-01,152636797
"2907","Loans granted under resale agreements to:  (total of items 119 to 125)",2015-03-01,159559473
"2908","Loans granted under resale agreements to:  (total of items 119 to 125)",2015-04-01,176130835
"2909","Loans granted under resale agreements to:  (total of items 119 to 125)",2015-05-01,176618081
"2910","Loans granted under resale agreements to:  (total of items 119 to 125)",2015-06-01,196917206
"2911","Loans granted under resale agreements to:  (total of items 119 to 125)",2015-07-01,179159351
"2912","Loans granted under resale agreements to:  (total of items 119 to 125)",2015-08-01,205995245
"2913","Loans granted under resale agreements to:  (total of items 119 to 125)",2015-09-01,213951014
"2914","Loans granted under resale agreements to:  (total of items 119 to 125)",2015-10-01,195973889
"2915","Loans granted under resale agreements to:  (total of items 119 to 125)",2015-11-01,188974532
"2916","Loans granted under resale agreements to:  (total of items 119 to 125)",2015-12-01,185715440
"2917","Loans granted under resale agreements to:  (total of items 119 to 125)",2016-01-01,192934314
"2918","Loans granted under resale agreements to:  (total of items 119 to 125)",2016-02-01,203799343
"2919","Loans granted under resale agreements to:  (total of items 119 to 125)",2016-03-01,201635623
"2920","Loans granted under resale agreements to:  (total of items 119 to 125)",2016-04-01,186945327
"2921","Loans granted under resale agreements to:  (total of items 119 to 125)",2016-05-01,211280821
"2922","Loans granted under resale agreements to:  (total of items 119 to 125)",2016-06-01,208788088
"2923","Loans granted under resale agreements to:  (total of items 119 to 125)",2016-07-01,191912255
"2924","Loans granted under resale agreements to:  (total of items 119 to 125)",2016-08-01,229431904
"2925","Loans granted under resale agreements to:  (total of items 119 to 125)",2016-09-01,188554144
"2926","Loans granted under resale agreements to:  (total of items 119 to 125)",2016-10-01,213730621
"2927","Loans granted under resale agreements to:  (total of items 119 to 125)",2016-11-01,201655736
"2928","Loans granted under resale agreements to:  (total of items 119 to 125)",2016-12-01,184274193
"2929","Loans granted under resale agreements to:  (total of items 119 to 125)",2017-01-01,192483079
"2930","Loans granted under resale agreements to:  (total of items 119 to 125)",2017-02-01,181892380
"2931","Loans granted under resale agreements to:  (total of items 119 to 125)",2017-03-01,182819424
"2932","Loans granted under resale agreements to:  (total of items 119 to 125)",2017-04-01,167324753
"2933","Loans granted under resale agreements to:  (total of items 119 to 125)",2017-05-01,166921198
"2934","Loans granted under resale agreements to:  (total of items 119 to 125)",2017-06-01,172686502
"2935","Loans granted under resale agreements to:  (total of items 119 to 125)",2017-07-01,177144231
"2936","Loans granted under resale agreements to:  (total of items 119 to 125)",2017-08-01,167655087
"2937","Loans granted under resale agreements to:  (total of items 119 to 125)",2017-09-01,167475052
"2938","Loans granted under resale agreements to:  (total of items 119 to 125)",2017-10-01,186121322
"2939","Loans granted under resale agreements to:  (total of items 119 to 125)",2017-11-01,167485358
"2940","Loans granted under resale agreements to:  (total of items 119 to 125)",2017-12-01,148640324
"2941","Loans granted under resale agreements to:  (total of items 119 to 125)",2018-01-01,185161478
"2942","Loans granted under resale agreements to:  (total of items 119 to 125)",2018-02-01,187432222
"2943","Loans granted under resale agreements to:  (total of items 119 to 125)",2018-03-01,163904699
"2944","Loans granted under resale agreements to:  (total of items 119 to 125)",2018-04-01,178777038
"2945","Loans granted under resale agreements to:  (total of items 119 to 125)",2018-05-01,166070946
"2946","Loans granted under resale agreements to:  (total of items 119 to 125)",2018-06-01,170169893
"2947","Loans granted under resale agreements to:  (total of items 119 to 125)",2018-07-01,164588179
"2948","Loans granted under resale agreements to:  (total of items 119 to 125)",2018-08-01,173147726
"2949","Loans granted under resale agreements to:  (total of items 119 to 125)",2018-09-01,178241229
"2950","Loans granted under resale agreements to:  (total of items 119 to 125)",2018-10-01,176829263
"2951","Loans granted under resale agreements to:  (total of items 119 to 125)",2018-11-01,170226688
"2952","Loans granted under resale agreements to:  (total of items 119 to 125)",2018-12-01,200899116
"2953","Loans granted under resale agreements to:  (total of items 119 to 125)",2019-01-01,195093175
"2954","Loans granted under resale agreements to:  (total of items 119 to 125)",2019-02-01,212865777
"2955","Loans granted under resale agreements to:  (total of items 119 to 125)",2019-03-01,224371044
"2956","Loans granted under resale agreements to:  (total of items 119 to 125)",2019-04-01,241386026
"2957","Loans granted under resale agreements to:  (total of items 119 to 125)",2019-05-01,271038398
"2958","Loans granted under resale agreements to:  (total of items 119 to 125)",2019-06-01,284351457
"2959","Loans granted under resale agreements to:  (total of items 119 to 125)",2019-07-01,276321975
"2960","Loans granted under resale agreements to:  (total of items 119 to 125)",2019-08-01,237885771
"2961","Loans granted under resale agreements to:  (total of items 119 to 125)",2019-09-01,264320139
"2962","Loans granted under resale agreements to:  (total of items 119 to 125)",2019-10-01,272183132
"2963","Loans granted under resale agreements to:  (total of items 119 to 125)",2019-11-01,250181864
"2964","Loans granted under resale agreements to:  (total of items 119 to 125)",2019-12-01,232433353
"2965","Loans granted under resale agreements to:  (total of items 119 to 125)",2020-01-01,251994630
"2966","Loans granted under resale agreements to:  (total of items 119 to 125)",2020-02-01,290636531
"2967","Loans granted under resale agreements to:  (total of items 119 to 125)",2020-03-01,278225611
"2968","Loans granted under resale agreements to:  (total of items 119 to 125)",2020-04-01,272176350
"2969","Loans granted under resale agreements to:  (total of items 119 to 125)",2020-05-01,305286591
"2970","Loans granted under resale agreements to:  (total of items 119 to 125)",2020-06-01,339926071
"2971","Loans granted under resale agreements to:  (total of items 119 to 125)",2020-07-01,361226642
"2972","Loans granted under resale agreements to:  (total of items 119 to 125)",2020-08-01,378520593
"2973","Loans granted under resale agreements to:  (total of items 119 to 125)",2020-09-01,381815466
"2974","Loans granted under resale agreements to:  (total of items 119 to 125)",2020-10-01,377739436
"2975","Loans granted under resale agreements to:  (total of items 119 to 125)",2020-11-01,373105076
"2976","Loans granted under resale agreements to:  (total of items 119 to 125)",2020-12-01,380096799
"2977","Loans granted under resale agreements to:  (total of items 119 to 125)",2021-01-01,392997013
"2978","Loans granted under resale agreements to:  (total of items 119 to 125)",2021-02-01,383838173
"2979","Loans granted under resale agreements to:  (total of items 119 to 125)",2021-03-01,406733015
"2980","Loans granted under resale agreements to:  (total of items 119 to 125)",2021-04-01,382509398
"2981","Loans granted under resale agreements to:  (total of items 119 to 125)",2021-05-01,379577192
"2982","Loans granted under resale agreements to:  (total of items 119 to 125)",2021-06-01,392404665
"2983","Loans granted under resale agreements to:  (total of items 119 to 125)",2021-07-01,389801816
"2984","Loans granted under resale agreements to:  (total of items 119 to 125)",2021-08-01,417347062
"2985","Loans granted under resale agreements to:  (total of items 119 to 125)",2021-09-01,426896035
"2986","Loans granted under resale agreements to:  (total of items 119 to 125)",2021-10-01,421750183
"2987","Loans granted under resale agreements to:  (total of items 119 to 125)",2021-11-01,442175546
"2988","Loans granted under resale agreements to:  (total of items 119 to 125)",2021-12-01,430659709
"2989","Loans granted under resale agreements to:  (total of items 119 to 125)",2022-01-01,392479023
"2990","Loans granted under resale agreements to:  (total of items 119 to 125)",2022-02-01,364773316
"2991","Loans granted under resale agreements to:  (total of items 119 to 125)",2022-03-01,431024745
"2992","Loans granted under resale agreements to:  (total of items 119 to 125)",2022-04-01,416552093
"2993","Loans granted under resale agreements to:  (total of items 119 to 125)",2022-05-01,454769397
"2994","Loans granted under resale agreements to:  (total of items 119 to 125)",2022-06-01,440804264
"2995","Loans granted under resale agreements to:  (total of items 119 to 125)",2022-07-01,417788877
"2996","Loans granted under resale agreements to:  (total of items 119 to 125)",2022-08-01,388533544
"2997","Loans granted under resale agreements to:  (total of items 119 to 125)",2022-09-01,393307954
"2998","Loans granted under resale agreements to:  (total of items 119 to 125)",2022-10-01,446237331
"2999","Loans granted under resale agreements to:  (total of items 119 to 125)",2022-11-01,471248134
"3000","Loans granted under resale agreements to:  (total of items 119 to 125)",2022-12-01,468762710
"3001","Loans granted under resale agreements to:  (total of items 119 to 125)",2023-01-01,480249156
"3002","Loans granted under resale agreements to:  (total of items 119 to 125)",2023-02-01,503983813
"3003","Loans granted under resale agreements to:  (total of items 119 to 125)",2023-03-01,472772179
"3004","Loans granted under resale agreements to:  (total of items 119 to 125)",2023-04-01,524277746
"3005","Loans granted under resale agreements to:  (total of items 119 to 125)",2023-05-01,560410692
"3006","Loans granted under resale agreements to:  (total of items 119 to 125)",2023-06-01,538812867
"3007","Loans granted under resale agreements to:  (total of items 119 to 125)",2023-07-01,513158828
"3008","Loans granted under resale agreements to:  (total of items 119 to 125)",2023-08-01,535185970
"3009","SA Reserve Bank",2008-01-01,6307004
"3010","SA Reserve Bank",2008-02-01,6509788
"3011","SA Reserve Bank",2008-03-01,6681584
"3012","SA Reserve Bank",2008-04-01,7500707
"3013","SA Reserve Bank",2008-05-01,7523293
"3014","SA Reserve Bank",2008-06-01,5007610
"3015","SA Reserve Bank",2008-07-01,7507052
"3016","SA Reserve Bank",2008-08-01,7503651
"3017","SA Reserve Bank",2008-09-01,7814445
"3018","SA Reserve Bank",2008-10-01,7051715
"3019","SA Reserve Bank",2008-11-01,6811521
"3020","SA Reserve Bank",2008-12-01,2700000
"3021","SA Reserve Bank",2009-01-01,5021287
"3022","SA Reserve Bank",2009-02-01,7542850
"3023","SA Reserve Bank",2009-03-01,7899430
"3024","SA Reserve Bank",2009-04-01,7837787
"3025","SA Reserve Bank",2009-05-01,8232396
"3026","SA Reserve Bank",2009-06-01,8171051
"3027","SA Reserve Bank",2009-07-01,7583283
"3028","SA Reserve Bank",2009-08-01,7247829
"3029","SA Reserve Bank",2009-09-01,5970702
"3030","SA Reserve Bank",2009-10-01,5937316
"3031","SA Reserve Bank",2009-11-01,6944834
"3032","SA Reserve Bank",2009-12-01,3617752
"3033","SA Reserve Bank",2010-01-01,6397066
"3034","SA Reserve Bank",2010-02-01,7052658
"3035","SA Reserve Bank",2010-03-01,5274077
"3036","SA Reserve Bank",2010-04-01,5459324
"3037","SA Reserve Bank",2010-05-01,1556898
"3038","SA Reserve Bank",2010-06-01,0
"3039","SA Reserve Bank",2010-07-01,501427
"3040","SA Reserve Bank",2010-08-01,2033076
"3041","SA Reserve Bank",2010-09-01,5024457
"3042","SA Reserve Bank",2010-10-01,2716447
"3043","SA Reserve Bank",2010-11-01,3113188
"3044","SA Reserve Bank",2010-12-01,3116699
"3045","SA Reserve Bank",2011-01-01,4715671
"3046","SA Reserve Bank",2011-02-01,6080915
"3047","SA Reserve Bank",2011-03-01,5756193
"3048","SA Reserve Bank",2011-04-01,5771528
"3049","SA Reserve Bank",2011-05-01,4165781
"3050","SA Reserve Bank",2011-06-01,3760013
"3051","SA Reserve Bank",2011-07-01,5946415
"3052","SA Reserve Bank",2011-08-01,5956533
"3053","SA Reserve Bank",2011-09-01,4408018
"3054","SA Reserve Bank",2011-10-01,4808175
"3055","SA Reserve Bank",2011-11-01,5975368
"3056","SA Reserve Bank",2011-12-01,6474583
"3057","SA Reserve Bank",2012-01-01,5278293
"3058","SA Reserve Bank",2012-02-01,4977039
"3059","SA Reserve Bank",2012-03-01,6202242
"3060","SA Reserve Bank",2012-04-01,4860649
"3061","SA Reserve Bank",2012-05-01,3810860
"3062","SA Reserve Bank",2012-06-01,6292791
"3063","SA Reserve Bank",2012-07-01,6993463
"3064","SA Reserve Bank",2012-08-01,5971003
"3065","SA Reserve Bank",2012-09-01,8325805
"3066","SA Reserve Bank",2012-10-01,7837852
"3067","SA Reserve Bank",2012-11-01,7667955
"3068","SA Reserve Bank",2012-12-01,4545266
"3069","SA Reserve Bank",2013-01-01,3453244
"3070","SA Reserve Bank",2013-02-01,5599075
"3071","SA Reserve Bank",2013-03-01,6067955
"3072","SA Reserve Bank",2013-04-01,5557702
"3073","SA Reserve Bank",2013-05-01,5861711
"3074","SA Reserve Bank",2013-06-01,7351557
"3075","SA Reserve Bank",2013-07-01,6449831
"3076","SA Reserve Bank",2013-08-01,6448023
"3077","SA Reserve Bank",2013-09-01,6978150
"3078","SA Reserve Bank",2013-10-01,6945853
"3079","SA Reserve Bank",2013-11-01,6663976
"3080","SA Reserve Bank",2013-12-01,6177275
"3081","SA Reserve Bank",2014-01-01,5445661
"3082","SA Reserve Bank",2014-02-01,5951913
"3083","SA Reserve Bank",2014-03-01,6348546
"3084","SA Reserve Bank",2014-04-01,5253471
"3085","SA Reserve Bank",2014-05-01,5538992
"3086","SA Reserve Bank",2014-06-01,6454954
"3087","SA Reserve Bank",2014-07-01,5709319
"3088","SA Reserve Bank",2014-08-01,3686632
"3089","SA Reserve Bank",2014-09-01,3996237
"3090","SA Reserve Bank",2014-10-01,3281895
"3091","SA Reserve Bank",2014-11-01,2748390
"3092","SA Reserve Bank",2014-12-01,2660309
"3093","SA Reserve Bank",2015-01-01,3533190
"3094","SA Reserve Bank",2015-02-01,4082167
"3095","SA Reserve Bank",2015-03-01,3036953
"3096","SA Reserve Bank",2015-04-01,2537660
"3097","SA Reserve Bank",2015-05-01,3016743
"3098","SA Reserve Bank",2015-06-01,3015704
"3099","SA Reserve Bank",2015-07-01,1611214
"3100","SA Reserve Bank",2015-08-01,0
"3101","SA Reserve Bank",2015-09-01,0
"3102","SA Reserve Bank",2015-10-01,0
"3103","SA Reserve Bank",2015-11-01,0
"3104","SA Reserve Bank",2015-12-01,0
"3105","SA Reserve Bank",2016-01-01,0
"3106","SA Reserve Bank",2016-02-01,0
"3107","SA Reserve Bank",2016-03-01,2500389
"3108","SA Reserve Bank",2016-04-01,2736825
"3109","SA Reserve Bank",2016-05-01,2802800
"3110","SA Reserve Bank",2016-06-01,4441544
"3111","SA Reserve Bank",2016-07-01,3454113
"3112","SA Reserve Bank",2016-08-01,3756350
"3113","SA Reserve Bank",2016-09-01,2068265
"3114","SA Reserve Bank",2016-10-01,2069385
"3115","SA Reserve Bank",2016-11-01,0
"3116","SA Reserve Bank",2016-12-01,0
"3117","SA Reserve Bank",2017-01-01,303933
"3118","SA Reserve Bank",2017-02-01,637184
"3119","SA Reserve Bank",2017-03-01,1255065
"3120","SA Reserve Bank",2017-04-01,1756217
"3121","SA Reserve Bank",2017-05-01,1049579
"3122","SA Reserve Bank",2017-06-01,0
"3123","SA Reserve Bank",2017-07-01,2116600
"3124","SA Reserve Bank",2017-08-01,0
"3125","SA Reserve Bank",2017-09-01,0
"3126","SA Reserve Bank",2017-10-01,0
"3127","SA Reserve Bank",2017-11-01,1848265
"3128","SA Reserve Bank",2017-12-01,0
"3129","SA Reserve Bank",2018-01-01,0
"3130","SA Reserve Bank",2018-02-01,982850
"3131","SA Reserve Bank",2018-03-01,49368
"3132","SA Reserve Bank",2018-04-01,0
"3133","SA Reserve Bank",2018-05-01,0
"3134","SA Reserve Bank",2018-06-01,0
"3135","SA Reserve Bank",2018-07-01,10214
"3136","SA Reserve Bank",2018-08-01,0
"3137","SA Reserve Bank",2018-09-01,452241
"3138","SA Reserve Bank",2018-10-01,290120
"3139","SA Reserve Bank",2018-11-01,311679
"3140","SA Reserve Bank",2018-12-01,9166
"3141","SA Reserve Bank",2019-01-01,391208
"3142","SA Reserve Bank",2019-02-01,112258
"3143","SA Reserve Bank",2019-03-01,822046
"3144","SA Reserve Bank",2019-04-01,4677327
"3145","SA Reserve Bank",2019-05-01,16621
"3146","SA Reserve Bank",2019-06-01,378756
"3147","SA Reserve Bank",2019-07-01,542740
"3148","SA Reserve Bank",2019-08-01,903008
"3149","SA Reserve Bank",2019-09-01,1483174
"3150","SA Reserve Bank",2019-10-01,367714
"3151","SA Reserve Bank",2019-11-01,317813
"3152","SA Reserve Bank",2019-12-01,0
"3153","SA Reserve Bank",2020-01-01,577713
"3154","SA Reserve Bank",2020-02-01,491579
"3155","SA Reserve Bank",2020-03-01,362759
"3156","SA Reserve Bank",2020-04-01,1114389
"3157","SA Reserve Bank",2020-05-01,290231
"3158","SA Reserve Bank",2020-06-01,732468
"3159","SA Reserve Bank",2020-07-01,244513
"3160","SA Reserve Bank",2020-08-01,882629
"3161","SA Reserve Bank",2020-09-01,785442
"3162","SA Reserve Bank",2020-10-01,1065929
"3163","SA Reserve Bank",2020-11-01,96574
"3164","SA Reserve Bank",2020-12-01,86946
"3165","SA Reserve Bank",2021-01-01,783855
"3166","SA Reserve Bank",2021-02-01,679399
"3167","SA Reserve Bank",2021-03-01,2403849
"3168","SA Reserve Bank",2021-04-01,392959
"3169","SA Reserve Bank",2021-05-01,75822
"3170","SA Reserve Bank",2021-06-01,1086942
"3171","SA Reserve Bank",2021-07-01,2160804
"3172","SA Reserve Bank",2021-08-01,5418718
"3173","SA Reserve Bank",2021-09-01,432464
"3174","SA Reserve Bank",2021-10-01,55658
"3175","SA Reserve Bank",2021-11-01,0
"3176","SA Reserve Bank",2021-12-01,0
"3177","SA Reserve Bank",2022-01-01,0
"3178","SA Reserve Bank",2022-02-01,0
"3179","SA Reserve Bank",2022-03-01,0
"3180","SA Reserve Bank",2022-04-01,0
"3181","SA Reserve Bank",2022-05-01,431560
"3182","SA Reserve Bank",2022-06-01,414146
"3183","SA Reserve Bank",2022-07-01,292782
"3184","SA Reserve Bank",2022-08-01,1783207
"3185","SA Reserve Bank",2022-09-01,5176381
"3186","SA Reserve Bank",2022-10-01,0
"3187","SA Reserve Bank",2022-11-01,1383854
"3188","SA Reserve Bank",2022-12-01,0
"3189","SA Reserve Bank",2023-01-01,54
"3190","SA Reserve Bank",2023-02-01,434
"3191","SA Reserve Bank",2023-03-01,0
"3192","SA Reserve Bank",2023-04-01,0
"3193","SA Reserve Bank",2023-05-01,0
"3194","SA Reserve Bank",2023-06-01,0
"3195","SA Reserve Bank",2023-07-01,0
"3196","SA Reserve Bank",2023-08-01,0
"3197","Banksd",2008-01-01,65515130
"3198","Banksd",2008-02-01,64772637
"3199","Banksd",2008-03-01,65166552
"3200","Banksd",2008-04-01,58460134
"3201","Banksd",2008-05-01,76224621
"3202","Banksd",2008-06-01,74021523
"3203","Banksd",2008-07-01,72388758
"3204","Banksd",2008-08-01,62850252
"3205","Banksd",2008-09-01,75283953
"3206","Banksd",2008-10-01,62815679
"3207","Banksd",2008-11-01,59838224
"3208","Banksd",2008-12-01,55537631
"3209","Banksd",2009-01-01,57022978
"3210","Banksd",2009-02-01,46814931
"3211","Banksd",2009-03-01,50356769
"3212","Banksd",2009-04-01,44334544
"3213","Banksd",2009-05-01,45590424
"3214","Banksd",2009-06-01,47054157
"3215","Banksd",2009-07-01,53256693
"3216","Banksd",2009-08-01,54783488
"3217","Banksd",2009-09-01,51718223
"3218","Banksd",2009-10-01,52921080
"3219","Banksd",2009-11-01,44382340
"3220","Banksd",2009-12-01,48324191
"3221","Banksd",2010-01-01,43794124
"3222","Banksd",2010-02-01,45528821
"3223","Banksd",2010-03-01,46298074
"3224","Banksd",2010-04-01,49489421
"3225","Banksd",2010-05-01,50048649
"3226","Banksd",2010-06-01,48751881
"3227","Banksd",2010-07-01,46191356
"3228","Banksd",2010-08-01,47828175
"3229","Banksd",2010-09-01,48948368
"3230","Banksd",2010-10-01,47663820
"3231","Banksd",2010-11-01,52369253
"3232","Banksd",2010-12-01,57381805
"3233","Banksd",2011-01-01,44977367
"3234","Banksd",2011-02-01,46178098
"3235","Banksd",2011-03-01,51059534
"3236","Banksd",2011-04-01,53987400
"3237","Banksd",2011-05-01,56106554
"3238","Banksd",2011-06-01,45957390
"3239","Banksd",2011-07-01,41863698
"3240","Banksd",2011-08-01,54315223
"3241","Banksd",2011-09-01,44952637
"3242","Banksd",2011-10-01,36380178
"3243","Banksd",2011-11-01,42644947
"3244","Banksd",2011-12-01,36907491
"3245","Banksd",2012-01-01,43760650
"3246","Banksd",2012-02-01,45545275
"3247","Banksd",2012-03-01,43022310
"3248","Banksd",2012-04-01,38078456
