"Series","Date","Value"
"Number of individual contractors rendering services to the bank",2010-03-01,11309
"Number of individual contractors rendering services to the bank",2010-06-01,10781
"Number of individual contractors rendering services to the bank",2010-09-01,10394
"Number of individual contractors rendering services to the bank",2010-12-01,9937
"Number of individual contractors rendering services to the bank",2011-03-01,9953
"Number of individual contractors rendering services to the bank",2011-06-01,9597
"Number of individual contractors rendering services to the bank",2011-09-01,9730
"Number of individual contractors rendering services to the bank",2011-12-01,9792
"Number of individual contractors rendering services to the bank",2012-03-01,10460
"Number of individual contractors rendering services to the bank",2012-06-01,10733
"Number of individual contractors rendering services to the bank",2012-09-01,10739
"Number of individual contractors rendering services to the bank",2012-12-01,10270
"Number of individual contractors rendering services to the bank",2013-03-01,9614
"Number of individual contractors rendering services to the bank",2013-06-01,9433
"Number of individual contractors rendering services to the bank",2013-09-01,9280
"Number of individual contractors rendering services to the bank",2013-12-01,9176
"Number of individual contractors rendering services to the bank",2014-03-01,9982
"Number of individual contractors rendering services to the bank",2014-06-01,8592
"Number of individual contractors rendering services to the bank",2014-09-01,8925
"Number of individual contractors rendering services to the bank",2014-12-01,8050
"Number of individual contractors rendering services to the bank",2015-03-01,6545
"Number of individual contractors rendering services to the bank",2015-06-01,4789
"Number of individual contractors rendering services to the bank",2015-09-01,5208
"Number of individual contractors rendering services to the bank",2015-12-01,8754
"Number of individual contractors rendering services to the bank",2016-03-01,8900
"Number of individual contractors rendering services to the bank",2016-06-01,9519
"Number of individual contractors rendering services to the bank",2016-09-01,9120
"Number of individual contractors rendering services to the bank",2016-12-01,8225
"Number of individual contractors rendering services to the bank",2017-03-01,7758
"Number of individual contractors rendering services to the bank",2017-06-01,7730
"Number of individual contractors rendering services to the bank",2017-09-01,7330
"Number of individual contractors rendering services to the bank",2017-12-01,7240
"Number of individual contractors rendering services to the bank",2018-03-01,6915
"Number of individual contractors rendering services to the bank",2018-06-01,7038
"Number of individual contractors rendering services to the bank",2018-09-01,7392
"Number of individual contractors rendering services to the bank",2018-12-01,6957
"Number of individual contractors rendering services to the bank",2019-03-01,6250
"Number of individual contractors rendering services to the bank",2019-06-01,6457
"Number of individual contractors rendering services to the bank",2019-09-01,6381
"Number of individual contractors rendering services to the bank",2019-12-01,6564
"Number of individual contractors rendering services to the bank",2020-03-01,6534
"Number of individual contractors rendering services to the bank",2020-06-01,5692
"Number of individual contractors rendering services to the bank",2020-09-01,7548
"Number of individual contractors rendering services to the bank",2020-12-01,7540
"Number of individual contractors rendering services to the bank",2021-03-01,7375
"Number of individual contractors rendering services to the bank",2021-06-01,8149
"Number of individual contractors rendering services to the bank",2021-09-01,9217
"Number of individual contractors rendering services to the bank",2021-12-01,9482
"Number of individual contractors rendering services to the bank",2022-03-01,9570
"Number of individual contractors rendering services to the bank",2022-06-01,8166
"Number of individual contractors rendering services to the bank",2022-09-01,10179
"Number of individual contractors rendering services to the bank",2022-12-01,7241
"Number of individual contractors rendering services to the bank",2023-03-01,6885
"Number of individual contractors rendering services to the bank",2023-06-01,6779
"Number of personnel in employ",2010-03-01,138383
"Number of personnel in employ",2010-06-01,138032
"Number of personnel in employ",2010-09-01,136876
"Number of personnel in employ",2010-12-01,138027
"Number of personnel in employ",2011-03-01,138677
"Number of personnel in employ",2011-06-01,138250
"Number of personnel in employ",2011-09-01,138300
"Number of personnel in employ",2011-12-01,136985
"Number of personnel in employ",2012-03-01,142762
"Number of personnel in employ",2012-06-01,139824
"Number of personnel in employ",2012-09-01,139930
"Number of personnel in employ",2012-12-01,140827
"Number of personnel in employ",2013-03-01,141866
"Number of personnel in employ",2013-06-01,142440
"Number of personnel in employ",2013-09-01,143222
"Number of personnel in employ",2013-12-01,143537
"Number of personnel in employ",2014-03-01,147150
"Number of personnel in employ",2014-06-01,144897
"Number of personnel in employ",2014-09-01,144721
"Number of personnel in employ",2014-12-01,146353
"Number of personnel in employ",2015-03-01,148273
"Number of personnel in employ",2015-06-01,152373
"Number of personnel in employ",2015-09-01,155520
"Number of personnel in employ",2015-12-01,152325
"Number of personnel in employ",2016-03-01,151839
"Number of personnel in employ",2016-06-01,151824
"Number of personnel in employ",2016-09-01,150751
"Number of personnel in employ",2016-12-01,151468
"Number of personnel in employ",2017-03-01,153093
"Number of personnel in employ",2017-06-01,152864
"Number of personnel in employ",2017-09-01,152353
"Number of personnel in employ",2017-12-01,152208
"Number of personnel in employ",2018-03-01,152470
"Number of personnel in employ",2018-06-01,154293
"Number of personnel in employ",2018-09-01,152323
"Number of personnel in employ",2018-12-01,152010
"Number of personnel in employ",2019-03-01,151938
"Number of personnel in employ",2019-06-01,151017
"Number of personnel in employ",2019-09-01,150297
"Number of personnel in employ",2019-12-01,148440
"Number of personnel in employ",2020-03-01,148064
"Number of personnel in employ",2020-06-01,146961
"Number of personnel in employ",2020-09-01,145263
"Number of personnel in employ",2020-12-01,144615
"Number of personnel in employ",2021-03-01,144787
"Number of personnel in employ",2021-06-01,143578
"Number of personnel in employ",2021-09-01,141069
"Number of personnel in employ",2021-12-01,139684
"Number of personnel in employ",2022-03-01,141127
"Number of personnel in employ",2022-06-01,140797
"Number of personnel in employ",2022-09-01,141769
"Number of personnel in employ",2022-12-01,142549
"Number of personnel in employ",2023-03-01,142443
"Number of personnel in employ",2023-06-01,143504
"Number of cash-dispensing automated teller machines operated by the reporting bank",2010-03-01,18041
"Number of cash-dispensing automated teller machines operated by the reporting bank",2010-06-01,18263
"Number of cash-dispensing automated teller machines operated by the reporting bank",2010-09-01,18717
"Number of cash-dispensing automated teller machines operated by the reporting bank",2010-12-01,20419
"Number of cash-dispensing automated teller machines operated by the reporting bank",2011-03-01,19926
"Number of cash-dispensing automated teller machines operated by the reporting bank",2011-06-01,20242
"Number of cash-dispensing automated teller machines operated by the reporting bank",2011-09-01,20550
"Number of cash-dispensing automated teller machines operated by the reporting bank",2011-12-01,21260
"Number of cash-dispensing automated teller machines operated by the reporting bank",2012-03-01,20961
"Number of cash-dispensing automated teller machines operated by the reporting bank",2012-06-01,21783
"Number of cash-dispensing automated teller machines operated by the reporting bank",2012-09-01,21995
"Number of cash-dispensing automated teller machines operated by the reporting bank",2012-12-01,22443
"Number of cash-dispensing automated teller machines operated by the reporting bank",2013-03-01,21255
"Number of cash-dispensing automated teller machines operated by the reporting bank",2013-06-01,21408
"Number of cash-dispensing automated teller machines operated by the reporting bank",2013-09-01,21607
"Number of cash-dispensing automated teller machines operated by the reporting bank",2013-12-01,22324
"Number of cash-dispensing automated teller machines operated by the reporting bank",2014-03-01,21990
"Number of cash-dispensing automated teller machines operated by the reporting bank",2014-06-01,22419
"Number of cash-dispensing automated teller machines operated by the reporting bank",2014-09-01,24653
"Number of cash-dispensing automated teller machines operated by the reporting bank",2014-12-01,25012
"Number of cash-dispensing automated teller machines operated by the reporting bank",2015-03-01,25240
"Number of cash-dispensing automated teller machines operated by the reporting bank",2015-06-01,26717
"Number of cash-dispensing automated teller machines operated by the reporting bank",2015-09-01,26721
"Number of cash-dispensing automated teller machines operated by the reporting bank",2015-12-01,27010
"Number of cash-dispensing automated teller machines operated by the reporting bank",2016-03-01,26923
"Number of cash-dispensing automated teller machines operated by the reporting bank",2016-06-01,26811
"Number of cash-dispensing automated teller machines operated by the reporting bank",2016-09-01,27067
"Number of cash-dispensing automated teller machines operated by the reporting bank",2016-12-01,27874
"Number of cash-dispensing automated teller machines operated by the reporting bank",2017-03-01,27436
"Number of cash-dispensing automated teller machines operated by the reporting bank",2017-06-01,27346
"Number of cash-dispensing automated teller machines operated by the reporting bank",2017-09-01,27384
"Number of cash-dispensing automated teller machines operated by the reporting bank",2017-12-01,27376
"Number of cash-dispensing automated teller machines operated by the reporting bank",2018-03-01,27361
"Number of cash-dispensing automated teller machines operated by the reporting bank",2018-06-01,27870
"Number of cash-dispensing automated teller machines operated by the reporting bank",2018-09-01,27913
"Number of cash-dispensing automated teller machines operated by the reporting bank",2018-12-01,28094
"Number of cash-dispensing automated teller machines operated by the reporting bank",2019-03-01,27434
"Number of cash-dispensing automated teller machines operated by the reporting bank",2019-06-01,27202
"Number of cash-dispensing automated teller machines operated by the reporting bank",2019-09-01,27072
"Number of cash-dispensing automated teller machines operated by the reporting bank",2019-12-01,27198
"Number of cash-dispensing automated teller machines operated by the reporting bank",2020-03-01,27166
"Number of cash-dispensing automated teller machines operated by the reporting bank",2020-06-01,25657
"Number of cash-dispensing automated teller machines operated by the reporting bank",2020-09-01,25182
"Number of cash-dispensing automated teller machines operated by the reporting bank",2020-12-01,24822
"Number of cash-dispensing automated teller machines operated by the reporting bank",2021-03-01,24740
"Number of cash-dispensing automated teller machines operated by the reporting bank",2021-06-01,24478
