"Series","Date","Value"
"Number of cash-dispensing automated teller machines operated by the reporting bank",2021-09-01,23886
"Number of cash-dispensing automated teller machines operated by the reporting bank",2021-12-01,23952
"Number of cash-dispensing automated teller machines operated by the reporting bank",2022-03-01,22851
"Number of cash-dispensing automated teller machines operated by the reporting bank",2022-06-01,21991
"Number of cash-dispensing automated teller machines operated by the reporting bank",2022-09-01,21251
"Number of cash-dispensing automated teller machines operated by the reporting bank",2022-12-01,20673
"Number of cash-dispensing automated teller machines operated by the reporting bank",2023-03-01,21561
"Number of cash-dispensing automated teller machines operated by the reporting bank",2023-06-01,21489
"Number of branches and sub-branches in the Republic",2010-03-01,3180
"Number of branches and sub-branches in the Republic",2010-06-01,3215
"Number of branches and sub-branches in the Republic",2010-09-01,3209
"Number of branches and sub-branches in the Republic",2010-12-01,3429
"Number of branches and sub-branches in the Republic",2011-03-01,3486
"Number of branches and sub-branches in the Republic",2011-06-01,3460
"Number of branches and sub-branches in the Republic",2011-09-01,3545
"Number of branches and sub-branches in the Republic",2011-12-01,3718
"Number of branches and sub-branches in the Republic",2012-03-01,3717
"Number of branches and sub-branches in the Republic",2012-06-01,3705
"Number of branches and sub-branches in the Republic",2012-09-01,3682
"Number of branches and sub-branches in the Republic",2012-12-01,3706
"Number of branches and sub-branches in the Republic",2013-03-01,3662
"Number of branches and sub-branches in the Republic",2013-06-01,3812
"Number of branches and sub-branches in the Republic",2013-09-01,3652
"Number of branches and sub-branches in the Republic",2013-12-01,3697
"Number of branches and sub-branches in the Republic",2014-03-01,3785
"Number of branches and sub-branches in the Republic",2014-06-01,3747
"Number of branches and sub-branches in the Republic",2014-09-01,4203
"Number of branches and sub-branches in the Republic",2014-12-01,4169
"Number of branches and sub-branches in the Republic",2015-03-01,4140
"Number of branches and sub-branches in the Republic",2015-06-01,4062
"Number of branches and sub-branches in the Republic",2015-09-01,4031
"Number of branches and sub-branches in the Republic",2015-12-01,4044
"Number of branches and sub-branches in the Republic",2016-03-01,4049
"Number of branches and sub-branches in the Republic",2016-06-01,4019
"Number of branches and sub-branches in the Republic",2016-09-01,4030
"Number of branches and sub-branches in the Republic",2016-12-01,4042
"Number of branches and sub-branches in the Republic",2017-03-01,3998
"Number of branches and sub-branches in the Republic",2017-06-01,3954
"Number of branches and sub-branches in the Republic",2017-09-01,3955
"Number of branches and sub-branches in the Republic",2017-12-01,3878
"Number of branches and sub-branches in the Republic",2018-03-01,4162
"Number of branches and sub-branches in the Republic",2018-06-01,4139
"Number of branches and sub-branches in the Republic",2018-09-01,4171
"Number of branches and sub-branches in the Republic",2018-12-01,4149
"Number of branches and sub-branches in the Republic",2019-03-01,4127
"Number of branches and sub-branches in the Republic",2019-06-01,4005
"Number of branches and sub-branches in the Republic",2019-09-01,4003
"Number of branches and sub-branches in the Republic",2019-12-01,3976
"Number of branches and sub-branches in the Republic",2020-03-01,3954
"Number of branches and sub-branches in the Republic",2020-06-01,3953
"Number of branches and sub-branches in the Republic",2020-09-01,3923
"Number of branches and sub-branches in the Republic",2020-12-01,3875
"Number of branches and sub-branches in the Republic",2021-03-01,3859
"Number of branches and sub-branches in the Republic",2021-06-01,3294
"Number of branches and sub-branches in the Republic",2021-09-01,3941
"Number of branches and sub-branches in the Republic",2021-12-01,3918
"Number of branches and sub-branches in the Republic",2022-03-01,3980
"Number of branches and sub-branches in the Republic",2022-06-01,3888
"Number of branches and sub-branches in the Republic",2022-09-01,3849
"Number of branches and sub-branches in the Republic",2022-12-01,3810
"Number of branches and sub-branches in the Republic",2023-03-01,3862
"Number of branches and sub-branches in the Republic",2023-06-01,3739
"Number of agencies in the Republic",2010-03-01,671
"Number of agencies in the Republic",2010-06-01,650
"Number of agencies in the Republic",2010-09-01,642
"Number of agencies in the Republic",2010-12-01,942
"Number of agencies in the Republic",2011-03-01,936
"Number of agencies in the Republic",2011-06-01,947
"Number of agencies in the Republic",2011-09-01,973
"Number of agencies in the Republic",2011-12-01,968
"Number of agencies in the Republic",2012-03-01,972
"Number of agencies in the Republic",2012-06-01,970
"Number of agencies in the Republic",2012-09-01,962
"Number of agencies in the Republic",2012-12-01,1064
"Number of agencies in the Republic",2013-03-01,1070
"Number of agencies in the Republic",2013-06-01,1071
"Number of agencies in the Republic",2013-09-01,665
"Number of agencies in the Republic",2013-12-01,671
"Number of agencies in the Republic",2014-03-01,672
"Number of agencies in the Republic",2014-06-01,659
"Number of agencies in the Republic",2014-09-01,212
"Number of agencies in the Republic",2014-12-01,212
"Number of agencies in the Republic",2015-03-01,211
"Number of agencies in the Republic",2015-06-01,205
"Number of agencies in the Republic",2015-09-01,207
"Number of agencies in the Republic",2015-12-01,203
"Number of agencies in the Republic",2016-03-01,87
"Number of agencies in the Republic",2016-06-01,81
"Number of agencies in the Republic",2016-09-01,82
"Number of agencies in the Republic",2016-12-01,88
"Number of agencies in the Republic",2017-03-01,85
"Number of agencies in the Republic",2017-06-01,77
"Number of agencies in the Republic",2017-09-01,78
"Number of agencies in the Republic",2017-12-01,72
"Number of agencies in the Republic",2018-03-01,73
"Number of agencies in the Republic",2018-06-01,74
"Number of agencies in the Republic",2018-09-01,74
"Number of agencies in the Republic",2018-12-01,76
"Number of agencies in the Republic",2019-03-01,73
"Number of agencies in the Republic",2019-06-01,74
"Number of agencies in the Republic",2019-09-01,77
"Number of agencies in the Republic",2019-12-01,76
"Number of agencies in the Republic",2020-03-01,77
"Number of agencies in the Republic",2020-06-01,73
"Number of agencies in the Republic",2020-09-01,72
"Number of agencies in the Republic",2020-12-01,73
"Number of agencies in the Republic",2021-03-01,70
"Number of agencies in the Republic",2021-06-01,70
"Number of agencies in the Republic",2021-09-01,70
"Number of agencies in the Republic",2021-12-01,64
"Number of agencies in the Republic",2022-03-01,64
"Number of agencies in the Republic",2022-06-01,64
"Number of agencies in the Republic",2022-09-01,64
"Number of agencies in the Republic",2022-12-01,49
"Number of agencies in the Republic",2023-03-01,49
"Number of agencies in the Republic",2023-06-01,5
"Number of branches and agencies in foreign countries",2010-03-01,28
"Number of branches and agencies in foreign countries",2010-06-01,104
"Number of branches and agencies in foreign countries",2010-09-01,103
"Number of branches and agencies in foreign countries",2010-12-01,104
"Number of branches and agencies in foreign countries",2011-03-01,103
"Number of branches and agencies in foreign countries",2011-06-01,102
"Number of branches and agencies in foreign countries",2011-09-01,102
"Number of branches and agencies in foreign countries",2011-12-01,102
"Number of branches and agencies in foreign countries",2012-03-01,102
"Number of branches and agencies in foreign countries",2012-06-01,102
"Number of branches and agencies in foreign countries",2012-09-01,102
"Number of branches and agencies in foreign countries",2012-12-01,102
"Number of branches and agencies in foreign countries",2013-03-01,102
"Number of branches and agencies in foreign countries",2013-06-01,102
"Number of branches and agencies in foreign countries",2013-09-01,102
"Number of branches and agencies in foreign countries",2013-12-01,104
"Number of branches and agencies in foreign countries",2014-03-01,104
"Number of branches and agencies in foreign countries",2014-06-01,104
"Number of branches and agencies in foreign countries",2014-09-01,102
"Number of branches and agencies in foreign countries",2014-12-01,103
"Number of branches and agencies in foreign countries",2015-03-01,114
"Number of branches and agencies in foreign countries",2015-06-01,161
"Number of branches and agencies in foreign countries",2015-09-01,219
"Number of branches and agencies in foreign countries",2015-12-01,218
"Number of branches and agencies in foreign countries",2016-03-01,223
"Number of branches and agencies in foreign countries",2016-06-01,227
"Number of branches and agencies in foreign countries",2016-09-01,225
"Number of branches and agencies in foreign countries",2016-12-01,227
"Number of branches and agencies in foreign countries",2017-03-01,225
"Number of branches and agencies in foreign countries",2017-06-01,228
"Number of branches and agencies in foreign countries",2017-09-01,225
"Number of branches and agencies in foreign countries",2017-12-01,220
"Number of branches and agencies in foreign countries",2018-03-01,218
"Number of branches and agencies in foreign countries",2018-06-01,217
"Number of branches and agencies in foreign countries",2018-09-01,216
"Number of branches and agencies in foreign countries",2018-12-01,213
"Number of branches and agencies in foreign countries",2019-03-01,212
"Number of branches and agencies in foreign countries",2019-06-01,212
"Number of branches and agencies in foreign countries",2019-09-01,212
"Number of branches and agencies in foreign countries",2019-12-01,212
"Number of branches and agencies in foreign countries",2020-03-01,212
"Number of branches and agencies in foreign countries",2020-06-01,212
"Number of branches and agencies in foreign countries",2020-09-01,30
"Number of branches and agencies in foreign countries",2020-12-01,30
"Number of branches and agencies in foreign countries",2021-03-01,31
"Number of branches and agencies in foreign countries",2021-06-01,30
"Number of branches and agencies in foreign countries",2021-09-01,30
"Number of branches and agencies in foreign countries",2021-12-01,29
"Number of branches and agencies in foreign countries",2022-03-01,26
"Number of branches and agencies in foreign countries",2022-06-01,29
"Number of branches and agencies in foreign countries",2022-09-01,29
"Number of branches and agencies in foreign countries",2022-12-01,12
"Number of branches and agencies in foreign countries",2023-03-01,12
"Number of branches and agencies in foreign countries",2023-06-01,12
"Number of current accounts, including those under cash-management schemes",2010-03-01,6637754
"Number of current accounts, including those under cash-management schemes",2010-06-01,6878347
"Number of current accounts, including those under cash-management schemes",2010-09-01,7175436
"Number of current accounts, including those under cash-management schemes",2010-12-01,6704362
"Number of current accounts, including those under cash-management schemes",2011-03-01,6970912
"Number of current accounts, including those under cash-management schemes",2011-06-01,7246247
"Number of current accounts, including those under cash-management schemes",2011-09-01,7522878
"Number of current accounts, including those under cash-management schemes",2011-12-01,7973300
"Number of current accounts, including those under cash-management schemes",2012-03-01,8292830
"Number of current accounts, including those under cash-management schemes",2012-06-01,11067910
"Number of current accounts, including those under cash-management schemes",2012-09-01,12531880
"Number of current accounts, including those under cash-management schemes",2012-12-01,16432825
"Number of current accounts, including those under cash-management schemes",2013-03-01,19306467
"Number of current accounts, including those under cash-management schemes",2013-06-01,20426064
"Number of current accounts, including those under cash-management schemes",2013-09-01,20887602
"Number of current accounts, including those under cash-management schemes",2013-12-01,20982729
"Number of current accounts, including those under cash-management schemes",2014-03-01,21309199
"Number of current accounts, including those under cash-management schemes",2014-06-01,21569093
"Number of current accounts, including those under cash-management schemes",2014-09-01,21807085
"Number of current accounts, including those under cash-management schemes",2014-12-01,21959707
"Number of current accounts, including those under cash-management schemes",2015-03-01,22315983
"Number of current accounts, including those under cash-management schemes",2015-06-01,22500723
"Number of current accounts, including those under cash-management schemes",2015-09-01,22901099
"Number of current accounts, including those under cash-management schemes",2015-12-01,22950105
"Number of current accounts, including those under cash-management schemes",2016-03-01,23526662
"Number of current accounts, including those under cash-management schemes",2016-06-01,23634313
"Number of current accounts, including those under cash-management schemes",2016-09-01,23882235
"Number of current accounts, including those under cash-management schemes",2016-12-01,23969361
"Number of current accounts, including those under cash-management schemes",2017-03-01,27600335
"Number of current accounts, including those under cash-management schemes",2017-06-01,27711064
"Number of current accounts, including those under cash-management schemes",2017-09-01,27715551
"Number of current accounts, including those under cash-management schemes",2017-12-01,27786920
"Number of current accounts, including those under cash-management schemes",2018-03-01,26167235
"Number of current accounts, including those under cash-management schemes",2018-06-01,25004135
"Number of current accounts, including those under cash-management schemes",2018-09-01,18856915
"Number of current accounts, including those under cash-management schemes",2018-12-01,16372191
"Number of current accounts, including those under cash-management schemes",2019-03-01,16235617
"Number of current accounts, including those under cash-management schemes",2019-06-01,16290932
"Number of current accounts, including those under cash-management schemes",2019-09-01,16510240
"Number of current accounts, including those under cash-management schemes",2019-12-01,16711869
"Number of current accounts, including those under cash-management schemes",2020-03-01,19168561
"Number of current accounts, including those under cash-management schemes",2020-06-01,19334371
"Number of current accounts, including those under cash-management schemes",2020-09-01,19955279
"Number of current accounts, including those under cash-management schemes",2020-12-01,20423637
"Number of current accounts, including those under cash-management schemes",2021-03-01,21067816
"Number of current accounts, including those under cash-management schemes",2021-06-01,21907864
"Number of current accounts, including those under cash-management schemes",2021-09-01,22611059
"Number of current accounts, including those under cash-management schemes",2021-12-01,23461918
"Number of current accounts, including those under cash-management schemes",2022-03-01,24406369
"Number of current accounts, including those under cash-management schemes",2022-06-01,25657705
"Number of current accounts, including those under cash-management schemes",2022-09-01,27497247
"Number of current accounts, including those under cash-management schemes",2022-12-01,28601932
"Number of current accounts, including those under cash-management schemes",2023-03-01,29949312
"Number of current accounts, including those under cash-management schemes",2023-06-01,31508749
"Number of deposit accounts, excluding current accounts",2010-03-01,23835003
"Number of deposit accounts, excluding current accounts",2010-06-01,24025833
"Number of deposit accounts, excluding current accounts",2010-09-01,26471953
"Number of deposit accounts, excluding current accounts",2010-12-01,26826564
"Number of deposit accounts, excluding current accounts",2011-03-01,27596091
"Number of deposit accounts, excluding current accounts",2011-06-01,27287201
"Number of deposit accounts, excluding current accounts",2011-09-01,27846623
"Number of deposit accounts, excluding current accounts",2011-12-01,27731338
"Number of deposit accounts, excluding current accounts",2012-03-01,28058454
"Number of deposit accounts, excluding current accounts",2012-06-01,28052635
"Number of deposit accounts, excluding current accounts",2012-09-01,27736852
"Number of deposit accounts, excluding current accounts",2012-12-01,28461658
"Number of deposit accounts, excluding current accounts",2013-03-01,33503200
"Number of deposit accounts, excluding current accounts",2013-06-01,34729557
"Number of deposit accounts, excluding current accounts",2013-09-01,34873379
"Number of deposit accounts, excluding current accounts",2013-12-01,35558035
"Number of deposit accounts, excluding current accounts",2014-03-01,36886598
"Number of deposit accounts, excluding current accounts",2014-06-01,37826012
"Number of deposit accounts, excluding current accounts",2014-09-01,38539774
"Number of deposit accounts, excluding current accounts",2014-12-01,39306976
"Number of deposit accounts, excluding current accounts",2015-03-01,39710337
"Number of deposit accounts, excluding current accounts",2015-06-01,40441358
"Number of deposit accounts, excluding current accounts",2015-09-01,39188119
"Number of deposit accounts, excluding current accounts",2015-12-01,40433328
"Number of deposit accounts, excluding current accounts",2016-03-01,37360516
"Number of deposit accounts, excluding current accounts",2016-06-01,38236781
"Number of deposit accounts, excluding current accounts",2016-09-01,39021703
"Number of deposit accounts, excluding current accounts",2016-12-01,39816273
"Number of deposit accounts, excluding current accounts",2017-03-01,39106210
"Number of deposit accounts, excluding current accounts",2017-06-01,39922839
"Number of deposit accounts, excluding current accounts",2017-09-01,40988778
"Number of deposit accounts, excluding current accounts",2017-12-01,39697573
"Number of deposit accounts, excluding current accounts",2018-03-01,42446374
"Number of deposit accounts, excluding current accounts",2018-06-01,43048480
"Number of deposit accounts, excluding current accounts",2018-09-01,41374345
"Number of deposit accounts, excluding current accounts",2018-12-01,41313806
"Number of deposit accounts, excluding current accounts",2019-03-01,42814045
"Number of deposit accounts, excluding current accounts",2019-06-01,43936321
"Number of deposit accounts, excluding current accounts",2019-09-01,45990943
"Number of deposit accounts, excluding current accounts",2019-12-01,46582080
"Number of deposit accounts, excluding current accounts",2020-03-01,43075742
"Number of deposit accounts, excluding current accounts",2020-06-01,44650831
"Number of deposit accounts, excluding current accounts",2020-09-01,45796067
"Number of deposit accounts, excluding current accounts",2020-12-01,47498753
"Number of deposit accounts, excluding current accounts",2021-03-01,49111785
"Number of deposit accounts, excluding current accounts",2021-06-01,50981640
"Number of deposit accounts, excluding current accounts",2021-09-01,52475475
"Number of deposit accounts, excluding current accounts",2021-12-01,55915188
"Number of deposit accounts, excluding current accounts",2022-03-01,56951495
"Number of deposit accounts, excluding current accounts",2022-06-01,58583186
"Number of deposit accounts, excluding current accounts",2022-09-01,61183805
"Number of deposit accounts, excluding current accounts",2022-12-01,63824717
"Number of deposit accounts, excluding current accounts",2023-03-01,69562300
"Number of deposit accounts, excluding current accounts",2023-06-01,71443146
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2010-03-01,28500296
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2010-06-01,29176088
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2010-09-01,30478920
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2010-12-01,37847060
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2011-03-01,28937684
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2011-06-01,31733436
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2011-09-01,34415512
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2011-12-01,37660812
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2012-03-01,29851060
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2012-06-01,29795300
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2012-09-01,30659329
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2012-12-01,39328693
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2013-03-01,33677174
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2013-06-01,32615485
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2013-09-01,33561052
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2013-12-01,41362537
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2014-03-01,37464369
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2014-06-01,36018364
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2014-09-01,36484128
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2014-12-01,44934692
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2015-03-01,36430750
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2015-06-01,36997005
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2015-09-01,38148972
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2015-12-01,47876965
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2016-03-01,356414
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2016-06-01,358594
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2016-09-01,366670
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2016-12-01,403463
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2017-03-01,366512
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2017-06-01,378107
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2017-09-01,381019
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2017-12-01,403275
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2018-03-01,402247
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2018-06-01,398633
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2018-09-01,424251
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2018-12-01,418259
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2019-03-01,472208
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2019-06-01,479925
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2019-09-01,491554
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2019-12-01,461447
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2020-03-01,424955
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2020-06-01,395675
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2020-09-01,422153
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2020-12-01,431569
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2021-03-01,447045
"Number of reporting bank's electronic data transfer (card swipe) machines at point of sale",2021-06-01,440439
