"Series","Date","Value"
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-03-01,18191775
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-04-01,16417969
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-05-01,18888622
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-06-01,18280377
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-07-01,15926736
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-08-01,15532538
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-09-01,19391259
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-10-01,20231790
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-11-01,21609924
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-12-01,20343853
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-01-01,20087991
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-02-01,19766833
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-03-01,20205556
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-04-01,20864672
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-05-01,20609337
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-06-01,18719681
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-07-01,21523193
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-08-01,19010338
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-09-01,14261039
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-10-01,21808109
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-11-01,20571234
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-12-01,20946949
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-01-01,21223549
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-02-01,20644606
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-03-01,20854203
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-04-01,20861641
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-05-01,19509264
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-06-01,18192647
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-07-01,21752514
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-08-01,20625389
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-09-01,21762793
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-10-01,18505391
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-11-01,20959059
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-12-01,21263761
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-01-01,22394675
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-02-01,22153417
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-03-01,24440677
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-04-01,23488279
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-05-01,21851829
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-06-01,23160699
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-07-01,23348854
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-08-01,22818770
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-09-01,23840188
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-10-01,24442995
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-11-01,23780105
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-12-01,25854130
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-01-01,23977032
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-02-01,24786938
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-03-01,25920324
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-04-01,25326965
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-05-01,24985778
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-06-01,25690236
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-07-01,24225984
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-08-01,25201824
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-09-01,25336740
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-10-01,25436934
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-11-01,25624061
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-12-01,28047122
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-01-01,25978940
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-02-01,24276780
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-03-01,26648180
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-04-01,26110869
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-05-01,26807002
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-06-01,26169258
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-07-01,26100116
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-08-01,26688507
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-09-01,26579813
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-10-01,27533755
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-11-01,26737125
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-12-01,28627110
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-01-01,26889058
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-02-01,26842259
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-03-01,27933160
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-04-01,27689563
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-05-01,27581679
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-06-01,24486948
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-07-01,24372731
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-08-01,26569475
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-09-01,26362666
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-10-01,27901921
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-11-01,25352493
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-12-01,22476316
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-01-01,25259979
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-02-01,29528203
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-03-01,28977222
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-04-01,30130249
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-05-01,30109140
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-06-01,29395052
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-07-01,27914452
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-08-01,29359867
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-09-01,27462043
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-10-01,30429937
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-11-01,30631705
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-12-01,25445661
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-01-01,25027409
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-02-01,30035489
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-03-01,30974001
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-04-01,32351803
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-05-01,33771594
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-06-01,31515226
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-07-01,32263307
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-08-01,31371390
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-09-01,34310086
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-10-01,31822438
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-11-01,32765717
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-12-01,33617805
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-01-01,31701045
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-02-01,32103010
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-03-01,33606317
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-04-01,33515360
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-05-01,32478053
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-06-01,33654989
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-07-01,32530732
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-08-01,32793938
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-09-01,32659198
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-10-01,32083628
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-11-01,33160199
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-12-01,33559153
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-01-01,22214272
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-02-01,33115552
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-03-01,34359466
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-04-01,33454208
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-05-01,34148471
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-06-01,34742982
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-07-01,33811181
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-08-01,35370938
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-09-01,35453867
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-10-01,40171357
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-11-01,43454882
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-12-01,37141289
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-01-01,36537526
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-02-01,47613649
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-03-01,47360333
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-04-01,52847729
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-05-01,46884246
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-06-01,44900359
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-07-01,49426709
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-08-01,55707481
"South African bank notes and subsidiary coin",2008-01-01,3123752
"South African bank notes and subsidiary coin",2008-02-01,2812654
"South African bank notes and subsidiary coin",2008-03-01,3001401
"South African bank notes and subsidiary coin",2008-04-01,3874205
"South African bank notes and subsidiary coin",2008-05-01,2448301
"South African bank notes and subsidiary coin",2008-06-01,2723177
"South African bank notes and subsidiary coin",2008-07-01,3461766
"South African bank notes and subsidiary coin",2008-08-01,2166348
"South African bank notes and subsidiary coin",2008-09-01,3201193
"South African bank notes and subsidiary coin",2008-10-01,3433612
"South African bank notes and subsidiary coin",2008-11-01,2314642
"South African bank notes and subsidiary coin",2008-12-01,4315422
"South African bank notes and subsidiary coin",2009-01-01,2633640
"South African bank notes and subsidiary coin",2009-02-01,2336688
"South African bank notes and subsidiary coin",2009-03-01,3121757
"South African bank notes and subsidiary coin",2009-04-01,3616912
"South African bank notes and subsidiary coin",2009-05-01,2239690
"South African bank notes and subsidiary coin",2009-06-01,2840970
"South African bank notes and subsidiary coin",2009-07-01,3478208
"South African bank notes and subsidiary coin",2009-08-01,2814640
"South African bank notes and subsidiary coin",2009-09-01,3204689
"South African bank notes and subsidiary coin",2009-10-01,2648863
"South African bank notes and subsidiary coin",2009-11-01,3315972
"South African bank notes and subsidiary coin",2009-12-01,4399378
"South African bank notes and subsidiary coin",2010-01-01,2433553
"South African bank notes and subsidiary coin",2010-02-01,2125230
"South African bank notes and subsidiary coin",2010-03-01,4144743
"South African bank notes and subsidiary coin",2010-04-01,3551446
"South African bank notes and subsidiary coin",2010-05-01,3493914
"South African bank notes and subsidiary coin",2010-06-01,3950425
"South African bank notes and subsidiary coin",2010-07-01,2886517
"South African bank notes and subsidiary coin",2010-08-01,3900649
"South African bank notes and subsidiary coin",2010-09-01,3810144
"South African bank notes and subsidiary coin",2010-10-01,2984143
"South African bank notes and subsidiary coin",2010-11-01,4681664
"South African bank notes and subsidiary coin",2010-12-01,4374699
"South African bank notes and subsidiary coin",2011-01-01,3782060
"South African bank notes and subsidiary coin",2011-02-01,3464100
"South African bank notes and subsidiary coin",2011-03-01,4450449
"South African bank notes and subsidiary coin",2011-04-01,4881579
"South African bank notes and subsidiary coin",2011-05-01,4605073
"South African bank notes and subsidiary coin",2011-06-01,4697232
"South African bank notes and subsidiary coin",2011-07-01,3576583
"South African bank notes and subsidiary coin",2011-08-01,5393432
"South African bank notes and subsidiary coin",2011-09-01,4748372
"South African bank notes and subsidiary coin",2011-10-01,4783077
"South African bank notes and subsidiary coin",2011-11-01,5429176
"South African bank notes and subsidiary coin",2011-12-01,7144131
"South African bank notes and subsidiary coin",2012-01-01,5613191
"South African bank notes and subsidiary coin",2012-02-01,5601930
"South African bank notes and subsidiary coin",2012-03-01,4862598
"South African bank notes and subsidiary coin",2012-04-01,5148253
"South African bank notes and subsidiary coin",2012-05-01,5057969
"South African bank notes and subsidiary coin",2012-06-01,4187072
"South African bank notes and subsidiary coin",2012-07-01,5736612
"South African bank notes and subsidiary coin",2012-08-01,5172745
"South African bank notes and subsidiary coin",2012-09-01,5184712
"South African bank notes and subsidiary coin",2012-10-01,6631775
"South African bank notes and subsidiary coin",2012-11-01,7446102
"South African bank notes and subsidiary coin",2012-12-01,8012269
"South African bank notes and subsidiary coin",2013-01-01,6649675
"South African bank notes and subsidiary coin",2013-02-01,5185059
"South African bank notes and subsidiary coin",2013-03-01,5828534
"South African bank notes and subsidiary coin",2013-04-01,6256924
"South African bank notes and subsidiary coin",2013-05-01,5915616
"South African bank notes and subsidiary coin",2013-06-01,5430324
"South African bank notes and subsidiary coin",2013-07-01,7193833
"South African bank notes and subsidiary coin",2013-08-01,6109469
"South African bank notes and subsidiary coin",2013-09-01,6200454
"South African bank notes and subsidiary coin",2013-10-01,6712978
"South African bank notes and subsidiary coin",2013-11-01,5481413
"South African bank notes and subsidiary coin",2013-12-01,8530246
"South African bank notes and subsidiary coin",2014-01-01,6066116
"South African bank notes and subsidiary coin",2014-02-01,5517814
"South African bank notes and subsidiary coin",2014-03-01,6118144
"South African bank notes and subsidiary coin",2014-04-01,7284649
"South African bank notes and subsidiary coin",2014-05-01,4505182
"South African bank notes and subsidiary coin",2014-06-01,5066949
"South African bank notes and subsidiary coin",2014-07-01,6407163
"South African bank notes and subsidiary coin",2014-08-01,5143248
"South African bank notes and subsidiary coin",2014-09-01,6176463
"South African bank notes and subsidiary coin",2014-10-01,6374061
"South African bank notes and subsidiary coin",2014-11-01,5028268
"South African bank notes and subsidiary coin",2014-12-01,8643083
"South African bank notes and subsidiary coin",2015-01-01,6050453
"South African bank notes and subsidiary coin",2015-02-01,5771898
"South African bank notes and subsidiary coin",2015-03-01,7861760
"South African bank notes and subsidiary coin",2015-04-01,7127880
"South African bank notes and subsidiary coin",2015-05-01,5485387
"South African bank notes and subsidiary coin",2015-06-01,6675464
"South African bank notes and subsidiary coin",2015-07-01,6767783
"South African bank notes and subsidiary coin",2015-08-01,6160205
"South African bank notes and subsidiary coin",2015-09-01,6915086
"South African bank notes and subsidiary coin",2015-10-01,7600044
"South African bank notes and subsidiary coin",2015-11-01,6876675
"South African bank notes and subsidiary coin",2015-12-01,8395214
"South African bank notes and subsidiary coin",2016-01-01,5905551
"South African bank notes and subsidiary coin",2016-02-01,6605560
"South African bank notes and subsidiary coin",2016-03-01,7863417
"South African bank notes and subsidiary coin",2016-04-01,7305362
"South African bank notes and subsidiary coin",2016-05-01,7094239
"South African bank notes and subsidiary coin",2016-06-01,7507504
"South African bank notes and subsidiary coin",2016-07-01,6167893
"South African bank notes and subsidiary coin",2016-08-01,6971287
"South African bank notes and subsidiary coin",2016-09-01,7119556
"South African bank notes and subsidiary coin",2016-10-01,7029032
"South African bank notes and subsidiary coin",2016-11-01,7985204
"South African bank notes and subsidiary coin",2016-12-01,9495270
"South African bank notes and subsidiary coin",2017-01-01,7230811
"South African bank notes and subsidiary coin",2017-02-01,6711465
"South African bank notes and subsidiary coin",2017-03-01,7790271
"South African bank notes and subsidiary coin",2017-04-01,7083782
"South African bank notes and subsidiary coin",2017-05-01,8043578
"South African bank notes and subsidiary coin",2017-06-01,7495955
"South African bank notes and subsidiary coin",2017-07-01,7553619
"South African bank notes and subsidiary coin",2017-08-01,7882798
"South African bank notes and subsidiary coin",2017-09-01,7472265
"South African bank notes and subsidiary coin",2017-10-01,8249850
"South African bank notes and subsidiary coin",2017-11-01,7709224
"South African bank notes and subsidiary coin",2017-12-01,9518260
"South African bank notes and subsidiary coin",2018-01-01,7625672
"South African bank notes and subsidiary coin",2018-02-01,7428495
"South African bank notes and subsidiary coin",2018-03-01,8423415
"South African bank notes and subsidiary coin",2018-04-01,8181365
"South African bank notes and subsidiary coin",2018-05-01,7932728
"South African bank notes and subsidiary coin",2018-06-01,6624977
"South African bank notes and subsidiary coin",2018-07-01,6926330
"South African bank notes and subsidiary coin",2018-08-01,7061935
"South African bank notes and subsidiary coin",2018-09-01,6431271
"South African bank notes and subsidiary coin",2018-10-01,7462017
"South African bank notes and subsidiary coin",2018-11-01,7701539
"South African bank notes and subsidiary coin",2018-12-01,9367356
"South African bank notes and subsidiary coin",2019-01-01,7731530
"South African bank notes and subsidiary coin",2019-02-01,7781449
"South African bank notes and subsidiary coin",2019-03-01,7342479
"South African bank notes and subsidiary coin",2019-04-01,8315561
"South African bank notes and subsidiary coin",2019-05-01,7922933
"South African bank notes and subsidiary coin",2019-06-01,7354538
"South African bank notes and subsidiary coin",2019-07-01,7970998
"South African bank notes and subsidiary coin",2019-08-01,6669353
"South African bank notes and subsidiary coin",2019-09-01,8374765
"South African bank notes and subsidiary coin",2019-10-01,7634592
"South African bank notes and subsidiary coin",2019-11-01,7694280
"South African bank notes and subsidiary coin",2019-12-01,8858832
"South African bank notes and subsidiary coin",2020-01-01,6482284
"South African bank notes and subsidiary coin",2020-02-01,6107065
"South African bank notes and subsidiary coin",2020-03-01,7154207
"South African bank notes and subsidiary coin",2020-04-01,8286566
"South African bank notes and subsidiary coin",2020-05-01,5857509
"South African bank notes and subsidiary coin",2020-06-01,6960834
"South African bank notes and subsidiary coin",2020-07-01,7465224
"South African bank notes and subsidiary coin",2020-08-01,6394842
"South African bank notes and subsidiary coin",2020-09-01,8732746
"South African bank notes and subsidiary coin",2020-10-01,6930751
"South African bank notes and subsidiary coin",2020-11-01,7508734
"South African bank notes and subsidiary coin",2020-12-01,8157457
"South African bank notes and subsidiary coin",2021-01-01,5939858
"South African bank notes and subsidiary coin",2021-02-01,6532395
"South African bank notes and subsidiary coin",2021-03-01,7938493
"South African bank notes and subsidiary coin",2021-04-01,7829915
"South African bank notes and subsidiary coin",2021-05-01,6316141
"South African bank notes and subsidiary coin",2021-06-01,7153383
"South African bank notes and subsidiary coin",2021-07-01,5750751
"South African bank notes and subsidiary coin",2021-08-01,6037391
"South African bank notes and subsidiary coin",2021-09-01,5751295
"South African bank notes and subsidiary coin",2021-10-01,5256804
"South African bank notes and subsidiary coin",2021-11-01,6032815
"South African bank notes and subsidiary coin",2021-12-01,5875343
"South African bank notes and subsidiary coin",2022-01-01,5006359
"South African bank notes and subsidiary coin",2022-02-01,4987302
"South African bank notes and subsidiary coin",2022-03-01,6535939
"South African bank notes and subsidiary coin",2022-04-01,5636270
"South African bank notes and subsidiary coin",2022-05-01,6315229
"South African bank notes and subsidiary coin",2022-06-01,6376699
"South African bank notes and subsidiary coin",2022-07-01,4924175
"South African bank notes and subsidiary coin",2022-08-01,5956413
"South African bank notes and subsidiary coin",2022-09-01,5558846
"South African bank notes and subsidiary coin",2022-10-01,5285024
"South African bank notes and subsidiary coin",2022-11-01,5836839
"South African bank notes and subsidiary coin",2022-12-01,6038425
"South African bank notes and subsidiary coin",2023-01-01,5246662
"South African bank notes and subsidiary coin",2023-02-01,5869664
"South African bank notes and subsidiary coin",2023-03-01,5725204
"South African bank notes and subsidiary coin",2023-04-01,4410789
"South African bank notes and subsidiary coin",2023-05-01,5067352
"South African bank notes and subsidiary coin",2023-06-01,5078557
"South African bank notes and subsidiary coin",2023-07-01,4669676
"South African bank notes and subsidiary coin",2023-08-01,4680981
"Gold coin and bullion",2008-01-01,0
"Gold coin and bullion",2008-02-01,0
"Gold coin and bullion",2008-03-01,0
"Gold coin and bullion",2008-04-01,0
"Gold coin and bullion",2008-05-01,0
"Gold coin and bullion",2008-06-01,0
"Gold coin and bullion",2008-07-01,0
"Gold coin and bullion",2008-08-01,0
"Gold coin and bullion",2008-09-01,0
"Gold coin and bullion",2008-10-01,0
"Gold coin and bullion",2008-11-01,0
"Gold coin and bullion",2008-12-01,0
"Gold coin and bullion",2009-01-01,0
"Gold coin and bullion",2009-02-01,0
"Gold coin and bullion",2009-03-01,0
"Gold coin and bullion",2009-04-01,0
"Gold coin and bullion",2009-05-01,0
"Gold coin and bullion",2009-06-01,0
"Gold coin and bullion",2009-07-01,0
"Gold coin and bullion",2009-08-01,0
"Gold coin and bullion",2009-09-01,0
"Gold coin and bullion",2009-10-01,0
"Gold coin and bullion",2009-11-01,0
"Gold coin and bullion",2009-12-01,0
"Gold coin and bullion",2010-01-01,0
"Gold coin and bullion",2010-02-01,0
"Gold coin and bullion",2010-03-01,0
"Gold coin and bullion",2010-04-01,0
"Gold coin and bullion",2010-05-01,0
"Gold coin and bullion",2010-06-01,0
"Gold coin and bullion",2010-07-01,0
"Gold coin and bullion",2010-08-01,0
"Gold coin and bullion",2010-09-01,0
"Gold coin and bullion",2010-10-01,0
"Gold coin and bullion",2010-11-01,0
"Gold coin and bullion",2010-12-01,0
"Gold coin and bullion",2011-01-01,0
"Gold coin and bullion",2011-02-01,0
"Gold coin and bullion",2011-03-01,0
"Gold coin and bullion",2011-04-01,0
