"Series","Date","Value"
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-01-01,13758992
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-02-01,13315198
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-03-01,14091469
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-04-01,14179755
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-05-01,13897353
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-06-01,14507849
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-07-01,14665635
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-08-01,14134111
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-09-01,15316966
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-10-01,14650727
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-11-01,14234473
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-12-01,16941553
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-01-01,14650282
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-02-01,15309805
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-03-01,16115633
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-04-01,16777437
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-05-01,14607367
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-06-01,16751175
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-07-01,16640462
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-08-01,15191287
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-09-01,16146025
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-10-01,13963888
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-11-01,16094795
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-12-01,15382295
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-01-01,15127118
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-02-01,14385150
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-03-01,17134456
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-04-01,16332133
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-05-01,16018643
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-06-01,16929792
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-07-01,19579882
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-08-01,16828359
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-09-01,16616320
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-10-01,15883551
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-11-01,17588419
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-12-01,17287431
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-01-01,15540081
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-02-01,14512041
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-03-01,17610677
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-04-01,18207049
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-05-01,18232929
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-06-01,18049954
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-07-01,16847040
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-08-01,18705676
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-09-01,17326928
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-10-01,18057475
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-11-01,18691281
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-12-01,19422815
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-01-01,18754739
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-02-01,18752154
