"Series","Date","Value"
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-01-01,12044098
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-02-01,12508996
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-03-01,12824488
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-04-01,13105307
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-05-01,11801726
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-06-01,12088624
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-07-01,12429110
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-08-01,12736004
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-09-01,13387358
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-10-01,13089606
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-11-01,12798760
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-12-01,12994921
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-01-01,11827762
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-02-01,11353822
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-03-01,11972604
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-04-01,12877719
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-05-01,12174635
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-06-01,13030542
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-07-01,14149917
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-08-01,14062567
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-09-01,13918257
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-10-01,12846122
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-11-01,13611434
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-12-01,14097292
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-01-01,14582588
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-02-01,12832198
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-03-01,18663865
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-04-01,15022622
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-05-01,17532688
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-06-01,15343605
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-07-01,14842963
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-08-01,16262230
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-09-01,17247682
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-10-01,15043834
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-11-01,17136088
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-12-01,17583386
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-01-01,15698939
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-02-01,15418631
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-03-01,15771296
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-04-01,17106045
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-05-01,16318613
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-06-01,18217946
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-07-01,17770815
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-08-01,19227285
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-09-01,18213527
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-10-01,17855834
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-11-01,19728663
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-12-01,20414545
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-01-01,18407119
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-02-01,19599664
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-03-01,19272059
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-04-01,20289430
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-05-01,20206613
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-06-01,19979203
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-07-01,20020930
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-08-01,20599515
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-09-01,20311416
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-10-01,21763816
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-11-01,20943919
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-12-01,25566217
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-01-01,22648369
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-02-01,20905408
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-03-01,21862386
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-04-01,23057467
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-05-01,22599716
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-06-01,21749044
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-07-01,22657203
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-08-01,22459104
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-09-01,23182359
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-10-01,23679451
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-11-01,23363586
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-12-01,29504080
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-01-01,23162521
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-02-01,22205971
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-03-01,23506675
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-04-01,24627957
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-05-01,24367198
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-06-01,23199656
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-07-01,25134646
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-08-01,28606063
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-09-01,26567473
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-10-01,24935371
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-11-01,26656280
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-12-01,31792552
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-01-01,26894731
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-02-01,26454700
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-03-01,23210637
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-04-01,23907070
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-05-01,26546901
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-06-01,26246064
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-07-01,27616132
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-08-01,28079629
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-09-01,28726896
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-10-01,28180696
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-11-01,30013528
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-12-01,29757197
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-01-01,28042220
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-02-01,27812452
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-03-01,29038307
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-04-01,29205699
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-05-01,28220800
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-06-01,26702175
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-07-01,27524681
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-08-01,28881428
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-09-01,29214639
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-10-01,30336425
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-11-01,28685181
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-12-01,33573689
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-01-01,30086022
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-02-01,29470646
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-03-01,27752427
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-04-01,31572418
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-05-01,26748604
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-06-01,29604639
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-07-01,29347397
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-08-01,31000886
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-09-01,30839543
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-10-01,28044210
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-11-01,28305630
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-12-01,35508101
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-01-01,26439057
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-02-01,28000304
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-03-01,31978954
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-04-01,25097865
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-05-01,26905963
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-06-01,30891325
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-07-01,28302484
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-08-01,27222773
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-09-01,32531170
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-10-01,31199385
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-11-01,31418439
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-12-01,34125818
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-01-01,30997193
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-02-01,26756776
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-03-01,32077102
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-04-01,33205833
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-05-01,32792274
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-06-01,32949425
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-07-01,33390029
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-08-01,36908417
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-09-01,33570340
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-10-01,31878057
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-11-01,35210150
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-12-01,33191016
