"Series","Date","Value"
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-01-01,33624235
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-02-01,33093659
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-03-01,35241886
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-04-01,27748940
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-05-01,33835605
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-06-01,30921056
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-07-01,36136339
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-08-01,34670946
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-09-01,38772793
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-10-01,36419717
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-11-01,34729970
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-12-01,33678755
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-01-01,36017673
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-02-01,35954492
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-03-01,37099141
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-04-01,26046092
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-05-01,26765796
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-06-01,35371255
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-07-01,46282983
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-08-01,26965573
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-09-01,35561214
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-10-01,36760572
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-11-01,35107397
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-12-01,31903988
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-01-01,36386951
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-02-01,35858615
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-03-01,38253259
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-04-01,38198804
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-05-01,40034755
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-06-01,39422045
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-07-01,36792827
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-08-01,51240974
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-09-01,51076495
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-10-01,46109509
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-11-01,46787875
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-12-01,46653684
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-01-01,55224620
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-02-01,41034062
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-03-01,50597944
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-04-01,40224647
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-05-01,51298266
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-06-01,59952557
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-07-01,54297326
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-08-01,50433183
"South African bank notes and subsidiary coin",2008-01-01,3028681
"South African bank notes and subsidiary coin",2008-02-01,3164497
"South African bank notes and subsidiary coin",2008-03-01,2868883
"South African bank notes and subsidiary coin",2008-04-01,3995347
"South African bank notes and subsidiary coin",2008-05-01,2702763
"South African bank notes and subsidiary coin",2008-06-01,2864111
"South African bank notes and subsidiary coin",2008-07-01,3176999
"South African bank notes and subsidiary coin",2008-08-01,3000973
"South African bank notes and subsidiary coin",2008-09-01,3296688
"South African bank notes and subsidiary coin",2008-10-01,3286235
"South African bank notes and subsidiary coin",2008-11-01,3176382
"South African bank notes and subsidiary coin",2008-12-01,3909916
"South African bank notes and subsidiary coin",2009-01-01,2981425
"South African bank notes and subsidiary coin",2009-02-01,2722340
"South African bank notes and subsidiary coin",2009-03-01,3344184
"South African bank notes and subsidiary coin",2009-04-01,4139817
"South African bank notes and subsidiary coin",2009-05-01,2937678
"South African bank notes and subsidiary coin",2009-06-01,3293275
"South African bank notes and subsidiary coin",2009-07-01,3486788
"South African bank notes and subsidiary coin",2009-08-01,3526202
"South African bank notes and subsidiary coin",2009-09-01,3373110
"South African bank notes and subsidiary coin",2009-10-01,3208660
"South African bank notes and subsidiary coin",2009-11-01,3870038
"South African bank notes and subsidiary coin",2009-12-01,4405476
"South African bank notes and subsidiary coin",2010-01-01,3378931
"South African bank notes and subsidiary coin",2010-02-01,2976200
"South African bank notes and subsidiary coin",2010-03-01,4537157
"South African bank notes and subsidiary coin",2010-04-01,4462339
"South African bank notes and subsidiary coin",2010-05-01,4641546
"South African bank notes and subsidiary coin",2010-06-01,4188144
"South African bank notes and subsidiary coin",2010-07-01,3526046
"South African bank notes and subsidiary coin",2010-08-01,4126170
"South African bank notes and subsidiary coin",2010-09-01,4601083
"South African bank notes and subsidiary coin",2010-10-01,3780401
"South African bank notes and subsidiary coin",2010-11-01,4302256
"South African bank notes and subsidiary coin",2010-12-01,5273385
"South African bank notes and subsidiary coin",2011-01-01,4274669
"South African bank notes and subsidiary coin",2011-02-01,3847956
"South African bank notes and subsidiary coin",2011-03-01,4224331
"South African bank notes and subsidiary coin",2011-04-01,4743270
"South African bank notes and subsidiary coin",2011-05-01,4311790
"South African bank notes and subsidiary coin",2011-06-01,5214720
"South African bank notes and subsidiary coin",2011-07-01,4982572
"South African bank notes and subsidiary coin",2011-08-01,4211751
"South African bank notes and subsidiary coin",2011-09-01,4803826
"South African bank notes and subsidiary coin",2011-10-01,4557280
"South African bank notes and subsidiary coin",2011-11-01,5995376
"South African bank notes and subsidiary coin",2011-12-01,7736936
"South African bank notes and subsidiary coin",2012-01-01,5034166
"South African bank notes and subsidiary coin",2012-02-01,5863197
"South African bank notes and subsidiary coin",2012-03-01,5253719
"South African bank notes and subsidiary coin",2012-04-01,5769219
"South African bank notes and subsidiary coin",2012-05-01,5435053
"South African bank notes and subsidiary coin",2012-06-01,5148396
"South African bank notes and subsidiary coin",2012-07-01,5216125
"South African bank notes and subsidiary coin",2012-08-01,5784964
"South African bank notes and subsidiary coin",2012-09-01,5520255
"South African bank notes and subsidiary coin",2012-10-01,5924499
"South African bank notes and subsidiary coin",2012-11-01,5958562
"South African bank notes and subsidiary coin",2012-12-01,10090757
"South African bank notes and subsidiary coin",2013-01-01,6718629
"South African bank notes and subsidiary coin",2013-02-01,5319208
"South African bank notes and subsidiary coin",2013-03-01,6290210
"South African bank notes and subsidiary coin",2013-04-01,6838389
"South African bank notes and subsidiary coin",2013-05-01,6436005
"South African bank notes and subsidiary coin",2013-06-01,5648567
"South African bank notes and subsidiary coin",2013-07-01,6415643
"South African bank notes and subsidiary coin",2013-08-01,6218537
"South African bank notes and subsidiary coin",2013-09-01,6655249
"South African bank notes and subsidiary coin",2013-10-01,7133805
"South African bank notes and subsidiary coin",2013-11-01,6357921
"South African bank notes and subsidiary coin",2013-12-01,8605671
"South African bank notes and subsidiary coin",2014-01-01,6288804
"South African bank notes and subsidiary coin",2014-02-01,6637379
"South African bank notes and subsidiary coin",2014-03-01,6492576
"South African bank notes and subsidiary coin",2014-04-01,7275384
"South African bank notes and subsidiary coin",2014-05-01,6555262
"South African bank notes and subsidiary coin",2014-06-01,6540870
"South African bank notes and subsidiary coin",2014-07-01,7635382
"South African bank notes and subsidiary coin",2014-08-01,7350971
"South African bank notes and subsidiary coin",2014-09-01,8122556
"South African bank notes and subsidiary coin",2014-10-01,8306194
"South African bank notes and subsidiary coin",2014-11-01,8372031
"South African bank notes and subsidiary coin",2014-12-01,12329263
"South African bank notes and subsidiary coin",2015-01-01,8361440
"South African bank notes and subsidiary coin",2015-02-01,7813808
"South African bank notes and subsidiary coin",2015-03-01,8367090
"South African bank notes and subsidiary coin",2015-04-01,9471454
"South African bank notes and subsidiary coin",2015-05-01,7458399
"South African bank notes and subsidiary coin",2015-06-01,7795251
"South African bank notes and subsidiary coin",2015-07-01,8565163
"South African bank notes and subsidiary coin",2015-08-01,8816834
"South African bank notes and subsidiary coin",2015-09-01,8861768
"South African bank notes and subsidiary coin",2015-10-01,8587831
"South African bank notes and subsidiary coin",2015-11-01,8676987
"South African bank notes and subsidiary coin",2015-12-01,11193173
"South African bank notes and subsidiary coin",2016-01-01,7961767
"South African bank notes and subsidiary coin",2016-02-01,7773030
"South African bank notes and subsidiary coin",2016-03-01,9297335
"South African bank notes and subsidiary coin",2016-04-01,9087467
"South African bank notes and subsidiary coin",2016-05-01,7855275
"South African bank notes and subsidiary coin",2016-06-01,7825292
"South African bank notes and subsidiary coin",2016-07-01,7810888
"South African bank notes and subsidiary coin",2016-08-01,8047131
"South African bank notes and subsidiary coin",2016-09-01,8112732
"South African bank notes and subsidiary coin",2016-10-01,9026044
"South African bank notes and subsidiary coin",2016-11-01,9116937
"South African bank notes and subsidiary coin",2016-12-01,11882489
"South African bank notes and subsidiary coin",2017-01-01,8013934
"South African bank notes and subsidiary coin",2017-02-01,7540498
"South African bank notes and subsidiary coin",2017-03-01,7343503
"South African bank notes and subsidiary coin",2017-04-01,8596256
"South African bank notes and subsidiary coin",2017-05-01,7700340
"South African bank notes and subsidiary coin",2017-06-01,7522327
"South African bank notes and subsidiary coin",2017-07-01,7674888
"South African bank notes and subsidiary coin",2017-08-01,8230327
"South African bank notes and subsidiary coin",2017-09-01,7838814
"South African bank notes and subsidiary coin",2017-10-01,8368503
"South African bank notes and subsidiary coin",2017-11-01,8106883
"South African bank notes and subsidiary coin",2017-12-01,12220983
"South African bank notes and subsidiary coin",2018-01-01,7914841
"South African bank notes and subsidiary coin",2018-02-01,7272953
"South African bank notes and subsidiary coin",2018-03-01,7921639
"South African bank notes and subsidiary coin",2018-04-01,7443714
"South African bank notes and subsidiary coin",2018-05-01,9107178
"South African bank notes and subsidiary coin",2018-06-01,7462394
"South African bank notes and subsidiary coin",2018-07-01,6918284
"South African bank notes and subsidiary coin",2018-08-01,7369240
"South African bank notes and subsidiary coin",2018-09-01,8407450
"South African bank notes and subsidiary coin",2018-10-01,7690330
"South African bank notes and subsidiary coin",2018-11-01,7645782
"South African bank notes and subsidiary coin",2018-12-01,10034363
"South African bank notes and subsidiary coin",2019-01-01,8967755
"South African bank notes and subsidiary coin",2019-02-01,8198721
"South African bank notes and subsidiary coin",2019-03-01,7655008
"South African bank notes and subsidiary coin",2019-04-01,8277706
"South African bank notes and subsidiary coin",2019-05-01,7751504
"South African bank notes and subsidiary coin",2019-06-01,7269550
"South African bank notes and subsidiary coin",2019-07-01,7604328
"South African bank notes and subsidiary coin",2019-08-01,6617756
"South African bank notes and subsidiary coin",2019-09-01,7518403
"South African bank notes and subsidiary coin",2019-10-01,8212132
"South African bank notes and subsidiary coin",2019-11-01,8293585
"South African bank notes and subsidiary coin",2019-12-01,9170165
"South African bank notes and subsidiary coin",2020-01-01,7359354
"South African bank notes and subsidiary coin",2020-02-01,5987332
"South African bank notes and subsidiary coin",2020-03-01,7712377
"South African bank notes and subsidiary coin",2020-04-01,9043542
"South African bank notes and subsidiary coin",2020-05-01,6562358
"South African bank notes and subsidiary coin",2020-06-01,6452826
"South African bank notes and subsidiary coin",2020-07-01,7623903
"South African bank notes and subsidiary coin",2020-08-01,6276292
"South African bank notes and subsidiary coin",2020-09-01,9606409
"South African bank notes and subsidiary coin",2020-10-01,8173268
"South African bank notes and subsidiary coin",2020-11-01,6511222
"South African bank notes and subsidiary coin",2020-12-01,8168508
"South African bank notes and subsidiary coin",2021-01-01,6667752
"South African bank notes and subsidiary coin",2021-02-01,8010201
"South African bank notes and subsidiary coin",2021-03-01,8011247
"South African bank notes and subsidiary coin",2021-04-01,6898633
"South African bank notes and subsidiary coin",2021-05-01,6244539
"South African bank notes and subsidiary coin",2021-06-01,6677889
"South African bank notes and subsidiary coin",2021-07-01,5793193
"South African bank notes and subsidiary coin",2021-08-01,5622905
"South African bank notes and subsidiary coin",2021-09-01,6385298
"South African bank notes and subsidiary coin",2021-10-01,5818767
"South African bank notes and subsidiary coin",2021-11-01,5685600
"South African bank notes and subsidiary coin",2021-12-01,7077900
"South African bank notes and subsidiary coin",2022-01-01,5197603
"South African bank notes and subsidiary coin",2022-02-01,5282753
"South African bank notes and subsidiary coin",2022-03-01,7284194
"South African bank notes and subsidiary coin",2022-04-01,5915011
"South African bank notes and subsidiary coin",2022-05-01,8081822
"South African bank notes and subsidiary coin",2022-06-01,7855083
"South African bank notes and subsidiary coin",2022-07-01,4784195
"South African bank notes and subsidiary coin",2022-08-01,5635714
"South African bank notes and subsidiary coin",2022-09-01,5307076
"South African bank notes and subsidiary coin",2022-10-01,5560556
"South African bank notes and subsidiary coin",2022-11-01,6283809
"South African bank notes and subsidiary coin",2022-12-01,7281403
"South African bank notes and subsidiary coin",2023-01-01,5428946
"South African bank notes and subsidiary coin",2023-02-01,6161182
"South African bank notes and subsidiary coin",2023-03-01,6808833
"South African bank notes and subsidiary coin",2023-04-01,5664258
"South African bank notes and subsidiary coin",2023-05-01,5557024
"South African bank notes and subsidiary coin",2023-06-01,5986606
"South African bank notes and subsidiary coin",2023-07-01,5465780
"South African bank notes and subsidiary coin",2023-08-01,5309334
"Gold coin and bullion",2008-01-01,1610
"Gold coin and bullion",2008-02-01,28123
"Gold coin and bullion",2008-03-01,17491
"Gold coin and bullion",2008-04-01,100
"Gold coin and bullion",2008-05-01,0
"Gold coin and bullion",2008-06-01,575
"Gold coin and bullion",2008-07-01,350
"Gold coin and bullion",2008-08-01,64242
"Gold coin and bullion",2008-09-01,515
"Gold coin and bullion",2008-10-01,210
"Gold coin and bullion",2008-11-01,153
"Gold coin and bullion",2008-12-01,6513
"Gold coin and bullion",2009-01-01,12845
"Gold coin and bullion",2009-02-01,21083
"Gold coin and bullion",2009-03-01,92266
"Gold coin and bullion",2009-04-01,23450
"Gold coin and bullion",2009-05-01,105966
"Gold coin and bullion",2009-06-01,114761
"Gold coin and bullion",2009-07-01,937177
"Gold coin and bullion",2009-08-01,803058
"Gold coin and bullion",2009-09-01,835059
"Gold coin and bullion",2009-10-01,0
"Gold coin and bullion",2009-11-01,0
"Gold coin and bullion",2009-12-01,0
"Gold coin and bullion",2010-01-01,0
"Gold coin and bullion",2010-02-01,0
"Gold coin and bullion",2010-03-01,0
"Gold coin and bullion",2010-04-01,0
"Gold coin and bullion",2010-05-01,0
"Gold coin and bullion",2010-06-01,0
"Gold coin and bullion",2010-07-01,0
"Gold coin and bullion",2010-08-01,0
"Gold coin and bullion",2010-09-01,0
"Gold coin and bullion",2010-10-01,0
"Gold coin and bullion",2010-11-01,0
"Gold coin and bullion",2010-12-01,0
"Gold coin and bullion",2011-01-01,0
"Gold coin and bullion",2011-02-01,0
"Gold coin and bullion",2011-03-01,0
"Gold coin and bullion",2011-04-01,0
