"Series","Date","Value"
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-01-01,301534
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-02-01,298096
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-03-01,295430
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-04-01,286378
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-05-01,257374
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-06-01,270280
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-07-01,343054
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-08-01,329909
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-09-01,348464
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-10-01,396594
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-11-01,366768
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-12-01,401059
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-01-01,383805
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-02-01,376239
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-03-01,367097
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-04-01,504592
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-05-01,387339
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-06-01,435685
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-07-01,486414
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-08-01,464033
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-09-01,528318
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-10-01,466247
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-11-01,474541
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-12-01,554034
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-01-01,577973
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-02-01,601880
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-03-01,634962
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-04-01,678680
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-05-01,637091
