"Series","Date","Value"
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-06-01,641231
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-07-01,698570
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-08-01,704058
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-09-01,802374
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-10-01,750233
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-11-01,928938
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-12-01,882273
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-01-01,895636
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-02-01,948418
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-03-01,1018294
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-04-01,1006179
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-05-01,976700
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-06-01,1062983
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-07-01,987390
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-08-01,1014718
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-09-01,1183001
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-10-01,1148231
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-11-01,1254261
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-12-01,1284858
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-01-01,1367893
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-02-01,1291662
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-03-01,1311267
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-04-01,1398112
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-05-01,1416117
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-06-01,1433165
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-07-01,1387782
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-08-01,1676839
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-09-01,2175841
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-10-01,1742863
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-11-01,1993956
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-12-01,2027739
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-01-01,2080698
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-02-01,2037586
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-03-01,1824388
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-04-01,1899983
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-05-01,2027445
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-06-01,1956400
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-07-01,2023243
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-08-01,2184541
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-09-01,2127793
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-10-01,2195993
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-11-01,2082236
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-12-01,2256143
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-01-01,2398412
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-02-01,2332981
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-03-01,2232661
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-04-01,2414431
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-05-01,2413053
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-06-01,2456032
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-07-01,2710814
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-08-01,2626712
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-09-01,2673969
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-10-01,2826363
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-11-01,2816060
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-12-01,3119744
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-01-01,3134293
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-02-01,3094512
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-03-01,2933285
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-04-01,3601441
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-05-01,3075195
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-06-01,3026113
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-07-01,3366835
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-08-01,3134325
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-09-01,3153735
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-10-01,3524154
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-11-01,3573210
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-12-01,3592756
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-01-01,3515801
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-02-01,3464281
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-03-01,4024254
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-04-01,4049975
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-05-01,3651253
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-06-01,3613537
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-07-01,3758200
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-08-01,3414980
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-09-01,3811725
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-10-01,3593467
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-11-01,3665256
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-12-01,4765048
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-01-01,4072485
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-02-01,4012474
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-03-01,4987095
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-04-01,4411838
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-05-01,4553633
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-06-01,4659626
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-07-01,4134739
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-08-01,5078029
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-09-01,4889686
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-10-01,5250152
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-11-01,5656706
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-12-01,4433938
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-01-01,4637122
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-02-01,4821435
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-03-01,5004009
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-04-01,5178200
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-05-01,5682651
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-06-01,5576172
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-07-01,5672938
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-08-01,5993860
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-09-01,5352649
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-10-01,5365934
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-11-01,6355678
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-12-01,6197762
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-01-01,5633087
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-02-01,5757335
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-03-01,4786459
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-04-01,6237212
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-05-01,6089151
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-06-01,4823317
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-07-01,6097788
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-08-01,6068645
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-09-01,6063725
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-10-01,6400241
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-11-01,5777061
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-12-01,5735883
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-01-01,6305753
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-02-01,5365218
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-03-01,5678510
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-04-01,5902760
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-05-01,4146471
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-06-01,5946089
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-07-01,6224301
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-08-01,5358476
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-09-01,6707929
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-10-01,5650600
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-11-01,5889524
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-12-01,6688854
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-01-01,4950967
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-02-01,5245432
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-03-01,7662811
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-04-01,7514567
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-05-01,6593093
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-06-01,7437534
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-07-01,6621052
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-08-01,7430505
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-09-01,8009455
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-10-01,5690373
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-11-01,9197002
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-12-01,7124494
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-01-01,9912976
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-02-01,6668436
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-03-01,8588961
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-04-01,8283557
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-05-01,7382869
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-06-01,8637777
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-07-01,9261507
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-08-01,8991478
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-09-01,10836615
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-10-01,8884018
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-11-01,13375613
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-12-01,8821340
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-01-01,15300998
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-02-01,9546551
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-03-01,12521621
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-04-01,19622873
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-05-01,11783562
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-06-01,17403979
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-07-01,11505290
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-08-01,12012919
"South African bank notes and subsidiary coin",2008-01-01,268972
"South African bank notes and subsidiary coin",2008-02-01,263596
"South African bank notes and subsidiary coin",2008-03-01,257326
"South African bank notes and subsidiary coin",2008-04-01,246902
"South African bank notes and subsidiary coin",2008-05-01,216691
"South African bank notes and subsidiary coin",2008-06-01,227369
"South African bank notes and subsidiary coin",2008-07-01,297669
"South African bank notes and subsidiary coin",2008-08-01,280992
"South African bank notes and subsidiary coin",2008-09-01,296446
"South African bank notes and subsidiary coin",2008-10-01,341592
"South African bank notes and subsidiary coin",2008-11-01,308628
"South African bank notes and subsidiary coin",2008-12-01,339897
"South African bank notes and subsidiary coin",2009-01-01,319550
"South African bank notes and subsidiary coin",2009-02-01,310000
"South African bank notes and subsidiary coin",2009-03-01,300568
"South African bank notes and subsidiary coin",2009-04-01,438746
"South African bank notes and subsidiary coin",2009-05-01,320747
"South African bank notes and subsidiary coin",2009-06-01,363873
"South African bank notes and subsidiary coin",2009-07-01,405550
"South African bank notes and subsidiary coin",2009-08-01,373218
"South African bank notes and subsidiary coin",2009-09-01,430845
"South African bank notes and subsidiary coin",2009-10-01,361759
"South African bank notes and subsidiary coin",2009-11-01,364026
"South African bank notes and subsidiary coin",2009-12-01,425698
"South African bank notes and subsidiary coin",2010-01-01,436264
"South African bank notes and subsidiary coin",2010-02-01,447996
"South African bank notes and subsidiary coin",2010-03-01,476081
"South African bank notes and subsidiary coin",2010-04-01,511408
"South African bank notes and subsidiary coin",2010-05-01,461305
"South African bank notes and subsidiary coin",2010-06-01,463650
"South African bank notes and subsidiary coin",2010-07-01,513344
"South African bank notes and subsidiary coin",2010-08-01,511942
"South African bank notes and subsidiary coin",2010-09-01,601933
"South African bank notes and subsidiary coin",2010-10-01,545218
"South African bank notes and subsidiary coin",2010-11-01,717572
"South African bank notes and subsidiary coin",2010-12-01,657140
"South African bank notes and subsidiary coin",2011-01-01,660340
"South African bank notes and subsidiary coin",2011-02-01,710138
"South African bank notes and subsidiary coin",2011-03-01,777061
"South African bank notes and subsidiary coin",2011-04-01,759025
"South African bank notes and subsidiary coin",2011-05-01,716187
"South African bank notes and subsidiary coin",2011-06-01,791414
"South African bank notes and subsidiary coin",2011-07-01,701762
"South African bank notes and subsidiary coin",2011-08-01,717093
"South African bank notes and subsidiary coin",2011-09-01,875140
"South African bank notes and subsidiary coin",2011-10-01,831124
"South African bank notes and subsidiary coin",2011-11-01,920070
"South African bank notes and subsidiary coin",2011-12-01,930661
"South African bank notes and subsidiary coin",2012-01-01,996793
"South African bank notes and subsidiary coin",2012-02-01,906439
"South African bank notes and subsidiary coin",2012-03-01,921498
"South African bank notes and subsidiary coin",2012-04-01,1000859
"South African bank notes and subsidiary coin",2012-05-01,1011931
"South African bank notes and subsidiary coin",2012-06-01,1006263
"South African bank notes and subsidiary coin",2012-07-01,935496
"South African bank notes and subsidiary coin",2012-08-01,1189324
"South African bank notes and subsidiary coin",2012-09-01,1651238
"South African bank notes and subsidiary coin",2012-10-01,1175966
"South African bank notes and subsidiary coin",2012-11-01,1391098
"South African bank notes and subsidiary coin",2012-12-01,1400845
"South African bank notes and subsidiary coin",2013-01-01,1434806
"South African bank notes and subsidiary coin",2013-02-01,1383300
"South African bank notes and subsidiary coin",2013-03-01,1159397
"South African bank notes and subsidiary coin",2013-04-01,1229043
"South African bank notes and subsidiary coin",2013-05-01,1345228
"South African bank notes and subsidiary coin",2013-06-01,1262408
"South African bank notes and subsidiary coin",2013-07-01,1322325
"South African bank notes and subsidiary coin",2013-08-01,1475297
"South African bank notes and subsidiary coin",2013-09-01,1423367
"South African bank notes and subsidiary coin",2013-10-01,1490784
"South African bank notes and subsidiary coin",2013-11-01,1377027
"South African bank notes and subsidiary coin",2013-12-01,1560002
"South African bank notes and subsidiary coin",2014-01-01,1698588
"South African bank notes and subsidiary coin",2014-02-01,1617156
"South African bank notes and subsidiary coin",2014-03-01,1508652
"South African bank notes and subsidiary coin",2014-04-01,1688737
"South African bank notes and subsidiary coin",2014-05-01,1691995
"South African bank notes and subsidiary coin",2014-06-01,1739885
"South African bank notes and subsidiary coin",2014-07-01,1995886
"South African bank notes and subsidiary coin",2014-08-01,1910413
"South African bank notes and subsidiary coin",2014-09-01,1959844
"South African bank notes and subsidiary coin",2014-10-01,2112238
"South African bank notes and subsidiary coin",2014-11-01,2101916
"South African bank notes and subsidiary coin",2014-12-01,2381982
"South African bank notes and subsidiary coin",2015-01-01,2386403
"South African bank notes and subsidiary coin",2015-02-01,2333031
"South African bank notes and subsidiary coin",2015-03-01,2187804
"South African bank notes and subsidiary coin",2015-04-01,2850475
"South African bank notes and subsidiary coin",2015-05-01,2325061
"South African bank notes and subsidiary coin",2015-06-01,2266858
"South African bank notes and subsidiary coin",2015-07-01,2606333
"South African bank notes and subsidiary coin",2015-08-01,2370214
"South African bank notes and subsidiary coin",2015-09-01,2379279
"South African bank notes and subsidiary coin",2015-10-01,2740601
"South African bank notes and subsidiary coin",2015-11-01,2773200
"South African bank notes and subsidiary coin",2015-12-01,2776565
"South African bank notes and subsidiary coin",2016-01-01,2692509
"South African bank notes and subsidiary coin",2016-02-01,2648884
"South African bank notes and subsidiary coin",2016-03-01,3214526
"South African bank notes and subsidiary coin",2016-04-01,3227462
"South African bank notes and subsidiary coin",2016-05-01,2815384
"South African bank notes and subsidiary coin",2016-06-01,2764253
"South African bank notes and subsidiary coin",2016-07-01,2908671
"South African bank notes and subsidiary coin",2016-08-01,2564837
"South African bank notes and subsidiary coin",2016-09-01,2953456
"South African bank notes and subsidiary coin",2016-10-01,2722564
"South African bank notes and subsidiary coin",2016-11-01,2770362
"South African bank notes and subsidiary coin",2016-12-01,3858147
"South African bank notes and subsidiary coin",2017-01-01,3152802
"South African bank notes and subsidiary coin",2017-02-01,3091691
"South African bank notes and subsidiary coin",2017-03-01,3640819
"South African bank notes and subsidiary coin",2017-04-01,3475229
"South African bank notes and subsidiary coin",2017-05-01,3155960
"South African bank notes and subsidiary coin",2017-06-01,3375269
"South African bank notes and subsidiary coin",2017-07-01,3177461
"South African bank notes and subsidiary coin",2017-08-01,3371716
"South African bank notes and subsidiary coin",2017-09-01,3416290
"South African bank notes and subsidiary coin",2017-10-01,3333028
"South African bank notes and subsidiary coin",2017-11-01,3677382
"South African bank notes and subsidiary coin",2017-12-01,3314187
"South African bank notes and subsidiary coin",2018-01-01,3509929
"South African bank notes and subsidiary coin",2018-02-01,3472067
"South African bank notes and subsidiary coin",2018-03-01,3891218
"South African bank notes and subsidiary coin",2018-04-01,3792126
"South African bank notes and subsidiary coin",2018-05-01,3524848
"South African bank notes and subsidiary coin",2018-06-01,3301898
"South African bank notes and subsidiary coin",2018-07-01,3206123
"South African bank notes and subsidiary coin",2018-08-01,4018941
"South African bank notes and subsidiary coin",2018-09-01,3570558
"South African bank notes and subsidiary coin",2018-10-01,3599171
"South African bank notes and subsidiary coin",2018-11-01,4480809
"South African bank notes and subsidiary coin",2018-12-01,4141606
"South African bank notes and subsidiary coin",2019-01-01,3668510
"South African bank notes and subsidiary coin",2019-02-01,3601994
"South African bank notes and subsidiary coin",2019-03-01,3635606
"South African bank notes and subsidiary coin",2019-04-01,3873846
"South African bank notes and subsidiary coin",2019-05-01,3929619
"South African bank notes and subsidiary coin",2019-06-01,3570858
"South African bank notes and subsidiary coin",2019-07-01,3910725
"South African bank notes and subsidiary coin",2019-08-01,4126727
"South African bank notes and subsidiary coin",2019-09-01,4152909
"South African bank notes and subsidiary coin",2019-10-01,3680203
"South African bank notes and subsidiary coin",2019-11-01,3698948
"South African bank notes and subsidiary coin",2019-12-01,3260512
"South African bank notes and subsidiary coin",2020-01-01,3576290
"South African bank notes and subsidiary coin",2020-02-01,3107477
"South African bank notes and subsidiary coin",2020-03-01,3583211
"South African bank notes and subsidiary coin",2020-04-01,3388958
"South African bank notes and subsidiary coin",2020-05-01,2505447
"South African bank notes and subsidiary coin",2020-06-01,2970189
"South African bank notes and subsidiary coin",2020-07-01,3417709
"South African bank notes and subsidiary coin",2020-08-01,2853676
"South African bank notes and subsidiary coin",2020-09-01,3233666
"South African bank notes and subsidiary coin",2020-10-01,3149744
"South African bank notes and subsidiary coin",2020-11-01,3450653
"South African bank notes and subsidiary coin",2020-12-01,3845542
"South African bank notes and subsidiary coin",2021-01-01,2892269
"South African bank notes and subsidiary coin",2021-02-01,2956685
"South African bank notes and subsidiary coin",2021-03-01,3986575
"South African bank notes and subsidiary coin",2021-04-01,3938811
"South African bank notes and subsidiary coin",2021-05-01,3186989
"South African bank notes and subsidiary coin",2021-06-01,3375097
"South African bank notes and subsidiary coin",2021-07-01,3230578
"South African bank notes and subsidiary coin",2021-08-01,3093218
"South African bank notes and subsidiary coin",2021-09-01,3403354
"South African bank notes and subsidiary coin",2021-10-01,2925466
"South African bank notes and subsidiary coin",2021-11-01,3073758
"South African bank notes and subsidiary coin",2021-12-01,3149099
"South African bank notes and subsidiary coin",2022-01-01,2942035
"South African bank notes and subsidiary coin",2022-02-01,2870552
"South African bank notes and subsidiary coin",2022-03-01,3394913
"South African bank notes and subsidiary coin",2022-04-01,3470419
"South African bank notes and subsidiary coin",2022-05-01,2972024
"South African bank notes and subsidiary coin",2022-06-01,3325333
"South African bank notes and subsidiary coin",2022-07-01,3057153
"South African bank notes and subsidiary coin",2022-08-01,3297568
"South African bank notes and subsidiary coin",2022-09-01,3741714
"South African bank notes and subsidiary coin",2022-10-01,3299997
"South African bank notes and subsidiary coin",2022-11-01,3596535
"South African bank notes and subsidiary coin",2022-12-01,4218573
"South African bank notes and subsidiary coin",2023-01-01,3660510
"South African bank notes and subsidiary coin",2023-02-01,3345159
"South African bank notes and subsidiary coin",2023-03-01,3671511
"South African bank notes and subsidiary coin",2023-04-01,3484293
"South African bank notes and subsidiary coin",2023-05-01,3438656
"South African bank notes and subsidiary coin",2023-06-01,3021184
"South African bank notes and subsidiary coin",2023-07-01,3560974
"South African bank notes and subsidiary coin",2023-08-01,3513704
"Gold coin and bullion",2008-01-01,0
"Gold coin and bullion",2008-02-01,0
"Gold coin and bullion",2008-03-01,0
"Gold coin and bullion",2008-04-01,0
"Gold coin and bullion",2008-05-01,0
"Gold coin and bullion",2008-06-01,0
"Gold coin and bullion",2008-07-01,0
"Gold coin and bullion",2008-08-01,0
"Gold coin and bullion",2008-09-01,0
"Gold coin and bullion",2008-10-01,0
"Gold coin and bullion",2008-11-01,0
"Gold coin and bullion",2008-12-01,0
"Gold coin and bullion",2009-01-01,0
"Gold coin and bullion",2009-02-01,0
"Gold coin and bullion",2009-03-01,0
"Gold coin and bullion",2009-04-01,0
"Gold coin and bullion",2009-05-01,0
"Gold coin and bullion",2009-06-01,0
"Gold coin and bullion",2009-07-01,0
"Gold coin and bullion",2009-08-01,0
"Gold coin and bullion",2009-09-01,0
"Gold coin and bullion",2009-10-01,0
"Gold coin and bullion",2009-11-01,0
"Gold coin and bullion",2009-12-01,0
"Gold coin and bullion",2010-01-01,0
"Gold coin and bullion",2010-02-01,0
"Gold coin and bullion",2010-03-01,0
"Gold coin and bullion",2010-04-01,0
"Gold coin and bullion",2010-05-01,0
"Gold coin and bullion",2010-06-01,0
"Gold coin and bullion",2010-07-01,0
"Gold coin and bullion",2010-08-01,0
"Gold coin and bullion",2010-09-01,0
"Gold coin and bullion",2010-10-01,0
"Gold coin and bullion",2010-11-01,0
"Gold coin and bullion",2010-12-01,0
"Gold coin and bullion",2011-01-01,0
"Gold coin and bullion",2011-02-01,0
"Gold coin and bullion",2011-03-01,0
"Gold coin and bullion",2011-04-01,0
"Gold coin and bullion",2011-05-01,0
"Gold coin and bullion",2011-06-01,0
"Gold coin and bullion",2011-07-01,0
"Gold coin and bullion",2011-08-01,0
"Gold coin and bullion",2011-09-01,0
