"Series","Date","Value"
"South African bank notes and subsidiary coin",2008-07-01,2817944
"South African bank notes and subsidiary coin",2008-08-01,2464231
"South African bank notes and subsidiary coin",2008-09-01,2994848
"South African bank notes and subsidiary coin",2008-10-01,2797502
"South African bank notes and subsidiary coin",2008-11-01,2694083
"South African bank notes and subsidiary coin",2008-12-01,4368337
"South African bank notes and subsidiary coin",2009-01-01,2598850
"South African bank notes and subsidiary coin",2009-02-01,2366551
"South African bank notes and subsidiary coin",2009-03-01,3217795
"South African bank notes and subsidiary coin",2009-04-01,3565389
"South African bank notes and subsidiary coin",2009-05-01,2700359
"South African bank notes and subsidiary coin",2009-06-01,3163693
"South African bank notes and subsidiary coin",2009-07-01,3003086
"South African bank notes and subsidiary coin",2009-08-01,2788309
"South African bank notes and subsidiary coin",2009-09-01,3385234
"South African bank notes and subsidiary coin",2009-10-01,2522044
"South African bank notes and subsidiary coin",2009-11-01,3134734
"South African bank notes and subsidiary coin",2009-12-01,4435722
"South African bank notes and subsidiary coin",2010-01-01,2611618
"South African bank notes and subsidiary coin",2010-02-01,2468833
"South African bank notes and subsidiary coin",2010-03-01,3928882
"South African bank notes and subsidiary coin",2010-04-01,3446067
"South African bank notes and subsidiary coin",2010-05-01,3382451
"South African bank notes and subsidiary coin",2010-06-01,3488511
"South African bank notes and subsidiary coin",2010-07-01,2884692
"South African bank notes and subsidiary coin",2010-08-01,3727297
"South African bank notes and subsidiary coin",2010-09-01,3811388
"South African bank notes and subsidiary coin",2010-10-01,2909509
"South African bank notes and subsidiary coin",2010-11-01,3823255
"South African bank notes and subsidiary coin",2010-12-01,4888507
"South African bank notes and subsidiary coin",2011-01-01,3369879
"South African bank notes and subsidiary coin",2011-02-01,2941868
"South African bank notes and subsidiary coin",2011-03-01,3800762
"South African bank notes and subsidiary coin",2011-04-01,4145548
"South African bank notes and subsidiary coin",2011-05-01,3851776
"South African bank notes and subsidiary coin",2011-06-01,3940083
"South African bank notes and subsidiary coin",2011-07-01,3619462
"South African bank notes and subsidiary coin",2011-08-01,4012896
"South African bank notes and subsidiary coin",2011-09-01,3698801
"South African bank notes and subsidiary coin",2011-10-01,3963715
"South African bank notes and subsidiary coin",2011-11-01,4520045
"South African bank notes and subsidiary coin",2011-12-01,6512015
"South African bank notes and subsidiary coin",2012-01-01,4541817
"South African bank notes and subsidiary coin",2012-02-01,4521078
"South African bank notes and subsidiary coin",2012-03-01,3974545
"South African bank notes and subsidiary coin",2012-04-01,5027793
"South African bank notes and subsidiary coin",2012-05-01,4999563
"South African bank notes and subsidiary coin",2012-06-01,3954835
"South African bank notes and subsidiary coin",2012-07-01,4265061
"South African bank notes and subsidiary coin",2012-08-01,4319490
"South African bank notes and subsidiary coin",2012-09-01,4035418
"South African bank notes and subsidiary coin",2012-10-01,4986459
"South African bank notes and subsidiary coin",2012-11-01,5181165
"South African bank notes and subsidiary coin",2012-12-01,6767824
"South African bank notes and subsidiary coin",2013-01-01,5176613
"South African bank notes and subsidiary coin",2013-02-01,4693586
"South African bank notes and subsidiary coin",2013-03-01,4410557
"South African bank notes and subsidiary coin",2013-04-01,5586898
"South African bank notes and subsidiary coin",2013-05-01,4596549
"South African bank notes and subsidiary coin",2013-06-01,4655600
"South African bank notes and subsidiary coin",2013-07-01,5239180
"South African bank notes and subsidiary coin",2013-08-01,5227497
"South African bank notes and subsidiary coin",2013-09-01,5033488
"South African bank notes and subsidiary coin",2013-10-01,5914226
"South African bank notes and subsidiary coin",2013-11-01,5263542
"South African bank notes and subsidiary coin",2013-12-01,7872160
"South African bank notes and subsidiary coin",2014-01-01,5274225
"South African bank notes and subsidiary coin",2014-02-01,5082597
"South African bank notes and subsidiary coin",2014-03-01,5426111
"South African bank notes and subsidiary coin",2014-04-01,6467881
"South African bank notes and subsidiary coin",2014-05-01,4914575
"South African bank notes and subsidiary coin",2014-06-01,5013314
"South African bank notes and subsidiary coin",2014-07-01,6260485
"South African bank notes and subsidiary coin",2014-08-01,5196635
"South African bank notes and subsidiary coin",2014-09-01,5635379
"South African bank notes and subsidiary coin",2014-10-01,5361147
"South African bank notes and subsidiary coin",2014-11-01,5020935
"South African bank notes and subsidiary coin",2014-12-01,7248492
"South African bank notes and subsidiary coin",2015-01-01,5088402
"South African bank notes and subsidiary coin",2015-02-01,4809678
"South African bank notes and subsidiary coin",2015-03-01,6823511
"South African bank notes and subsidiary coin",2015-04-01,6458719
"South African bank notes and subsidiary coin",2015-05-01,5559526
"South African bank notes and subsidiary coin",2015-06-01,6610820
"South African bank notes and subsidiary coin",2015-07-01,5578589
"South African bank notes and subsidiary coin",2015-08-01,5747438
"South African bank notes and subsidiary coin",2015-09-01,6311292
"South African bank notes and subsidiary coin",2015-10-01,5047356
"South African bank notes and subsidiary coin",2015-11-01,6451370
"South African bank notes and subsidiary coin",2015-12-01,7790969
"South African bank notes and subsidiary coin",2016-01-01,6259838
"South African bank notes and subsidiary coin",2016-02-01,5948543
"South African bank notes and subsidiary coin",2016-03-01,7582625
"South African bank notes and subsidiary coin",2016-04-01,6672243
"South African bank notes and subsidiary coin",2016-05-01,6648038
"South African bank notes and subsidiary coin",2016-06-01,6617565
"South African bank notes and subsidiary coin",2016-07-01,5613227
"South African bank notes and subsidiary coin",2016-08-01,6760733
"South African bank notes and subsidiary coin",2016-09-01,6435029
"South African bank notes and subsidiary coin",2016-10-01,6612036
"South African bank notes and subsidiary coin",2016-11-01,7307822
"South African bank notes and subsidiary coin",2016-12-01,8934817
"South African bank notes and subsidiary coin",2017-01-01,6858063
"South African bank notes and subsidiary coin",2017-02-01,6839696
"South African bank notes and subsidiary coin",2017-03-01,6414205
"South African bank notes and subsidiary coin",2017-04-01,7121406
"South African bank notes and subsidiary coin",2017-05-01,7157557
"South African bank notes and subsidiary coin",2017-06-01,6583661
"South African bank notes and subsidiary coin",2017-07-01,7028631
"South African bank notes and subsidiary coin",2017-08-01,7328679
"South African bank notes and subsidiary coin",2017-09-01,6442889
"South African bank notes and subsidiary coin",2017-10-01,7168631
"South African bank notes and subsidiary coin",2017-11-01,7662525
"South African bank notes and subsidiary coin",2017-12-01,9280326
"South African bank notes and subsidiary coin",2018-01-01,7298814
"South African bank notes and subsidiary coin",2018-02-01,6919594
"South African bank notes and subsidiary coin",2018-03-01,7403085
"South African bank notes and subsidiary coin",2018-04-01,7414063
"South African bank notes and subsidiary coin",2018-05-01,7781185
"South African bank notes and subsidiary coin",2018-06-01,6624141
"South African bank notes and subsidiary coin",2018-07-01,7234585
"South African bank notes and subsidiary coin",2018-08-01,6798325
"South African bank notes and subsidiary coin",2018-09-01,7011888
"South African bank notes and subsidiary coin",2018-10-01,7817032
"South African bank notes and subsidiary coin",2018-11-01,7874666
"South African bank notes and subsidiary coin",2018-12-01,10115666
"South African bank notes and subsidiary coin",2019-01-01,7631232
"South African bank notes and subsidiary coin",2019-02-01,7600466
"South African bank notes and subsidiary coin",2019-03-01,7400973
"South African bank notes and subsidiary coin",2019-04-01,8323876
"South African bank notes and subsidiary coin",2019-05-01,7488865
"South African bank notes and subsidiary coin",2019-06-01,7452723
"South African bank notes and subsidiary coin",2019-07-01,8585405
"South African bank notes and subsidiary coin",2019-08-01,6924936
"South African bank notes and subsidiary coin",2019-09-01,8414776
"South African bank notes and subsidiary coin",2019-10-01,8492314
"South African bank notes and subsidiary coin",2019-11-01,7968827
"South African bank notes and subsidiary coin",2019-12-01,10214318
"South African bank notes and subsidiary coin",2020-01-01,7692624
"South African bank notes and subsidiary coin",2020-02-01,7048009
"South African bank notes and subsidiary coin",2020-03-01,8121012
"South African bank notes and subsidiary coin",2020-04-01,8416259
"South African bank notes and subsidiary coin",2020-05-01,7301199
"South African bank notes and subsidiary coin",2020-06-01,8239956
"South African bank notes and subsidiary coin",2020-07-01,8552287
"South African bank notes and subsidiary coin",2020-08-01,8930925
"South African bank notes and subsidiary coin",2020-09-01,9487162
"South African bank notes and subsidiary coin",2020-10-01,8715808
"South African bank notes and subsidiary coin",2020-11-01,8854560
"South African bank notes and subsidiary coin",2020-12-01,9944447
"South African bank notes and subsidiary coin",2021-01-01,7814418
"South African bank notes and subsidiary coin",2021-02-01,7610527
"South African bank notes and subsidiary coin",2021-03-01,9954908
"South African bank notes and subsidiary coin",2021-04-01,8651774
"South African bank notes and subsidiary coin",2021-05-01,8526576
"South African bank notes and subsidiary coin",2021-06-01,8568674
"South African bank notes and subsidiary coin",2021-07-01,6876997
"South African bank notes and subsidiary coin",2021-08-01,7820435
"South African bank notes and subsidiary coin",2021-09-01,8560459
"South African bank notes and subsidiary coin",2021-10-01,8106359
"South African bank notes and subsidiary coin",2021-11-01,8527474
"South African bank notes and subsidiary coin",2021-12-01,10103685
"South African bank notes and subsidiary coin",2022-01-01,8160098
"South African bank notes and subsidiary coin",2022-02-01,8083364
"South African bank notes and subsidiary coin",2022-03-01,9612641
"South African bank notes and subsidiary coin",2022-04-01,9597224
"South African bank notes and subsidiary coin",2022-05-01,9850494
"South African bank notes and subsidiary coin",2022-06-01,9421806
"South African bank notes and subsidiary coin",2022-07-01,8229473
"South African bank notes and subsidiary coin",2022-08-01,9682687
"South African bank notes and subsidiary coin",2022-09-01,8915128
"South African bank notes and subsidiary coin",2022-10-01,8747921
"South African bank notes and subsidiary coin",2022-11-01,9807708
"South African bank notes and subsidiary coin",2022-12-01,11973309
"South African bank notes and subsidiary coin",2023-01-01,8960024
"South African bank notes and subsidiary coin",2023-02-01,9176813
"South African bank notes and subsidiary coin",2023-03-01,9280280
"South African bank notes and subsidiary coin",2023-04-01,9264488
"South African bank notes and subsidiary coin",2023-05-01,8802222
"South African bank notes and subsidiary coin",2023-06-01,8676808
"South African bank notes and subsidiary coin",2023-07-01,8782452
"South African bank notes and subsidiary coin",2023-08-01,9085413
"Gold coin and bullion",2008-01-01,58
"Gold coin and bullion",2008-02-01,53
"Gold coin and bullion",2008-03-01,53
"Gold coin and bullion",2008-04-01,50
"Gold coin and bullion",2008-05-01,47
"Gold coin and bullion",2008-06-01,58
"Gold coin and bullion",2008-07-01,46
"Gold coin and bullion",2008-08-01,62
"Gold coin and bullion",2008-09-01,62
"Gold coin and bullion",2008-10-01,62
"Gold coin and bullion",2008-11-01,62
"Gold coin and bullion",2008-12-01,62
"Gold coin and bullion",2009-01-01,62
"Gold coin and bullion",2009-02-01,62
"Gold coin and bullion",2009-03-01,62
"Gold coin and bullion",2009-04-01,62
"Gold coin and bullion",2009-05-01,62
"Gold coin and bullion",2009-06-01,61
"Gold coin and bullion",2009-07-01,61
"Gold coin and bullion",2009-08-01,61
"Gold coin and bullion",2009-09-01,61
"Gold coin and bullion",2009-10-01,61
"Gold coin and bullion",2009-11-01,68
"Gold coin and bullion",2009-12-01,46
"Gold coin and bullion",2010-01-01,54
"Gold coin and bullion",2010-02-01,61
"Gold coin and bullion",2010-03-01,68
"Gold coin and bullion",2010-04-01,68
"Gold coin and bullion",2010-05-01,61
"Gold coin and bullion",2010-06-01,74
"Gold coin and bullion",2010-07-01,81
"Gold coin and bullion",2010-08-01,87
"Gold coin and bullion",2010-09-01,87
"Gold coin and bullion",2010-10-01,94
"Gold coin and bullion",2010-11-01,61
"Gold coin and bullion",2010-12-01,70
"Gold coin and bullion",2011-01-01,64
"Gold coin and bullion",2011-02-01,62
"Gold coin and bullion",2011-03-01,60
"Gold coin and bullion",2011-04-01,63
