"Series","Date","Value"
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-01-01,12914509
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-02-01,13636338
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-03-01,13946155
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-04-01,13484065
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-05-01,12604603
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-06-01,13029966
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-07-01,13518251
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-08-01,13350954
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-09-01,14076750
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-10-01,13963282
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-11-01,13906344
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-12-01,15508305
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-01-01,13895821
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-02-01,13708197
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-03-01,14499205
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-04-01,14743710
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-05-01,13734317
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-06-01,13999980
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-07-01,13696126
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-08-01,13457505
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-09-01,13956394
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-10-01,13085787
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-11-01,13693531
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-12-01,15063577
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-01-01,13198099
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-02-01,12901296
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-03-01,14315643
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-04-01,13821867
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-05-01,13913829
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-06-01,14093438
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-07-01,13626113
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-08-01,14557029
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-09-01,14681466
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-10-01,13685322
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-11-01,14590700
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-12-01,15769722
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-01-01,14352916
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-02-01,13961863
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-03-01,14838089
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-04-01,15361099
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-05-01,15131211
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-06-01,18387690
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-07-01,14854658
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-08-01,15294659
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-09-01,15057139
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-10-01,15335369
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-11-01,16053375
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-12-01,18216509
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-01-01,16446970
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-02-01,16475456
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-03-01,16050915
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-04-01,17187425
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-05-01,17331460
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-06-01,16350401
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-07-01,16771046
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-08-01,16910567
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-09-01,16760819
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-10-01,17854274
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-11-01,18272708
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-12-01,20207329
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-01-01,18878876
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-02-01,20327785
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-03-01,18326878
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-04-01,20404488
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-05-01,20122520
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-06-01,18978192
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-07-01,19742239
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-08-01,19871199
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-09-01,19769356
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-10-01,21421654
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-11-01,20103415
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-12-01,22796815
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-01-01,20364248
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-02-01,20236230
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-03-01,20701089
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-04-01,21928989
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-05-01,20653786
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-06-01,21053238
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-07-01,22498467
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-08-01,21678266
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-09-01,22343612
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-10-01,22739528
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-11-01,22527606
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-12-01,24299859
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-01-01,22550670
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-02-01,22749296
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-03-01,24337667
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-04-01,24566990
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-05-01,23612819
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-06-01,24745740
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-07-01,23998649
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-08-01,24236904
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-09-01,26833873
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-10-01,24223911
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-11-01,25295008
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-12-01,26469859
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-01-01,36331830
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-02-01,37361695
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-03-01,36273153
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-04-01,34382080
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-05-01,37418000
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-06-01,36661075
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-07-01,35690550
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-08-01,37825684
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-09-01,35292264
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-10-01,35098268
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-11-01,34964532
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-12-01,37367279
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-01-01,35730547
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-02-01,36781755
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-03-01,35730524
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-04-01,37770800
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-05-01,38002346
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-06-01,39129687
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-07-01,38143125
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-08-01,40637290
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-09-01,39952982
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-10-01,41253107
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-11-01,42590215
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-12-01,41447064
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-01-01,41790549
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-02-01,40042002
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-03-01,40031656
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-04-01,39843303
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-05-01,42037508
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-06-01,40213349
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-07-01,39869222
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-08-01,41738130
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-09-01,42258784
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-10-01,45557786
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-11-01,41553576
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-12-01,43657277
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-01-01,44179654
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-02-01,43559079
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-03-01,49122701
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-04-01,46590794
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-05-01,48687316
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-06-01,51829869
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-07-01,52810386
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-08-01,51823837
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-09-01,53458081
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-10-01,52883906
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-11-01,51077910
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-12-01,53516715
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-01-01,51703492
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-02-01,52567428
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-03-01,60537021
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-04-01,62347894
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-05-01,55334031
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-06-01,54171038
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-07-01,53656919
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-08-01,64118246
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-09-01,54817590
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-10-01,53863888
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-11-01,54607680
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-12-01,54677534
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-01-01,51499624
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-02-01,48702434
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-03-01,56172993
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-04-01,55055771
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-05-01,52587617
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-06-01,57397185
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-07-01,52021719
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-08-01,60792583
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-09-01,50983776
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-10-01,53083993
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-11-01,54777535
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-12-01,57605407
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-01-01,50053900
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-02-01,55310671
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-03-01,58596061
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-04-01,56022324
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-05-01,57662744
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-06-01,53750902
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-07-01,50614620
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-08-01,63907652
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-09-01,67210667
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-10-01,62729586
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-11-01,65373280
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-12-01,60384901
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-01-01,60968232
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-02-01,65423228
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-03-01,68785720
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-04-01,72215095
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-05-01,74068114
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-06-01,68978836
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-07-01,70984289
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-08-01,76715219
"South African bank notes and subsidiary coin",2008-01-01,2818941
"South African bank notes and subsidiary coin",2008-02-01,2369850
"South African bank notes and subsidiary coin",2008-03-01,2666884
"South African bank notes and subsidiary coin",2008-04-01,3148368
"South African bank notes and subsidiary coin",2008-05-01,2196068
"South African bank notes and subsidiary coin",2008-06-01,2656257
