"Series","Date","Value"
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-01-01,10474973
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-02-01,11335781
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-03-01,11310998
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-04-01,11705549
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-05-01,11529608
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-06-01,11918549
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-07-01,12294435
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-08-01,12674748
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-09-01,13949735
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-10-01,12942918
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-11-01,12998764
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2008-12-01,12943555
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-01-01,13260974
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-02-01,10373154
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-03-01,13399176
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-04-01,13085078
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-05-01,12514242
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-06-01,12842198
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-07-01,10587256
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-08-01,14061813
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-09-01,13886371
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-10-01,12429813
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-11-01,12951033
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2009-12-01,12592273
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-01-01,13124812
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-02-01,16103852
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-03-01,13934958
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-04-01,13994532
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-05-01,13695783
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-06-01,13975377
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-07-01,13466358
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-08-01,14432132
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-09-01,14793711
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-10-01,14857650
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-11-01,14889689
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2010-12-01,15191756
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-01-01,13779442
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-02-01,16980730
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-03-01,15046395
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-04-01,16237638
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-05-01,14990244
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-06-01,16780374
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-07-01,16929153
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-08-01,18787520
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-09-01,17266474
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-10-01,16652924
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-11-01,17171333
