"Series","Date","Value"
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2011-12-01,18201471
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-01-01,17487965
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-02-01,21291924
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-03-01,14405934
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-04-01,18313628
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-05-01,17449368
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-06-01,17886376
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-07-01,17729728
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-08-01,20838858
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-09-01,19539134
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-10-01,18303869
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-11-01,20072736
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2012-12-01,20129063
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-01-01,19548707
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-02-01,22837601
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-03-01,17671102
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-04-01,18888641
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-05-01,19316591
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-06-01,18440095
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-07-01,19337557
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-08-01,19296149
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-09-01,17241738
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-10-01,18512412
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-11-01,17156604
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2013-12-01,18509201
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-01-01,18692825
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-02-01,18301678
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-03-01,14031587
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-04-01,17293537
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-05-01,16273780
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-06-01,18148184
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-07-01,18308267
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-08-01,18747063
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-09-01,18950730
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-10-01,17939294
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-11-01,17739323
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2014-12-01,21158849
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-01-01,18505313
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-02-01,18136325
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-03-01,20088992
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-04-01,20186044
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-05-01,18937939
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-06-01,19776891
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-07-01,22839282
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-08-01,20974563
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-09-01,22073440
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-10-01,20519693
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-11-01,23383854
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2015-12-01,23125782
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-01-01,20680780
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-02-01,20493713
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-03-01,20114485
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-04-01,21614256
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-05-01,21894217
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-06-01,22068912
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-07-01,23724338
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-08-01,23426135
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-09-01,22858990
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-10-01,22210783
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-11-01,23700189
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2016-12-01,24830542
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-01-01,23742097
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-02-01,23502933
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-03-01,23136781
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-04-01,23653012
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-05-01,24866752
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-06-01,22887952
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-07-01,23049859
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-08-01,24136712
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-09-01,23165972
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-10-01,23795916
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-11-01,24828309
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2017-12-01,25231122
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-01-01,24926764
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-02-01,24454666
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-03-01,24260574
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-04-01,25077020
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-05-01,24279460
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-06-01,24195537
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-07-01,24097865
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-08-01,25712875
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-09-01,24574105
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-10-01,25099122
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-11-01,25383258
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2018-12-01,27113196
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-01-01,26461232
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-02-01,25992785
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-03-01,25228072
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-04-01,24748491
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-05-01,27293072
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-06-01,26789415
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-07-01,27390310
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-08-01,25303537
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-09-01,27935426
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-10-01,28296569
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-11-01,28472048
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2019-12-01,27675751
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-01-01,27019461
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-02-01,26888373
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-03-01,25330176
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-04-01,26583956
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-05-01,25540041
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-06-01,25967615
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-07-01,35094522
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-08-01,28398144
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-09-01,29876471
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-10-01,26479272
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-11-01,27507885
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2020-12-01,31514742
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-01-01,26773157
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-02-01,26737482
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-03-01,27296502
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-04-01,28958738
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-05-01,25242126
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-06-01,27113720
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-07-01,25751002
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-08-01,28009839
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-09-01,26768441
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-10-01,31602532
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-11-01,27497947
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2021-12-01,31737554
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-01-01,25994270
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-02-01,25725631
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-03-01,27683036
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-04-01,26361551
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-05-01,28701441
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-06-01,29933929
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-07-01,31206413
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-08-01,28083340
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-09-01,31383869
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-10-01,33988653
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-11-01,29187403
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2022-12-01,35966691
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-01-01,34480435
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-02-01,38565919
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-03-01,32635923
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-04-01,31447641
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-05-01,46510310
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-06-01,33436120
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-07-01,34501647
"CENTRAL BANK MONEY AND GOLD (total of items 104 to 106)",2023-08-01,27570890
"South African bank notes and subsidiary coin",2008-01-01,1481665
"South African bank notes and subsidiary coin",2008-02-01,1457549
"South African bank notes and subsidiary coin",2008-03-01,1637654
"South African bank notes and subsidiary coin",2008-04-01,2139292
"South African bank notes and subsidiary coin",2008-05-01,1474057
"South African bank notes and subsidiary coin",2008-06-01,1558283
"South African bank notes and subsidiary coin",2008-07-01,1598983
"South African bank notes and subsidiary coin",2008-08-01,1477761
"South African bank notes and subsidiary coin",2008-09-01,1648517
"South African bank notes and subsidiary coin",2008-10-01,1696542
"South African bank notes and subsidiary coin",2008-11-01,1638051
"South African bank notes and subsidiary coin",2008-12-01,2131207
"South African bank notes and subsidiary coin",2009-01-01,1689216
"South African bank notes and subsidiary coin",2009-02-01,1365367
"South African bank notes and subsidiary coin",2009-03-01,1749806
"South African bank notes and subsidiary coin",2009-04-01,1833473
"South African bank notes and subsidiary coin",2009-05-01,1567750
"South African bank notes and subsidiary coin",2009-06-01,1557799
"South African bank notes and subsidiary coin",2009-07-01,1509032
"South African bank notes and subsidiary coin",2009-08-01,1728868
"South African bank notes and subsidiary coin",2009-09-01,1494642
"South African bank notes and subsidiary coin",2009-10-01,1369205
"South African bank notes and subsidiary coin",2009-11-01,1782258
"South African bank notes and subsidiary coin",2009-12-01,1994830
"South African bank notes and subsidiary coin",2010-01-01,1364667
"South African bank notes and subsidiary coin",2010-02-01,1318204
"South African bank notes and subsidiary coin",2010-03-01,1581544
"South African bank notes and subsidiary coin",2010-04-01,1719511
"South African bank notes and subsidiary coin",2010-05-01,1934037
"South African bank notes and subsidiary coin",2010-06-01,1571587
"South African bank notes and subsidiary coin",2010-07-01,1400270
"South African bank notes and subsidiary coin",2010-08-01,1807660
"South African bank notes and subsidiary coin",2010-09-01,1694415
"South African bank notes and subsidiary coin",2010-10-01,1466003
"South African bank notes and subsidiary coin",2010-11-01,1884512
"South African bank notes and subsidiary coin",2010-12-01,2053171
"South African bank notes and subsidiary coin",2011-01-01,1644218
"South African bank notes and subsidiary coin",2011-02-01,1484030
"South African bank notes and subsidiary coin",2011-03-01,1664149
"South African bank notes and subsidiary coin",2011-04-01,1914251
"South African bank notes and subsidiary coin",2011-05-01,1590514
"South African bank notes and subsidiary coin",2011-06-01,1749121
"South African bank notes and subsidiary coin",2011-07-01,1581208
"South African bank notes and subsidiary coin",2011-08-01,1875905
"South African bank notes and subsidiary coin",2011-09-01,1816394
"South African bank notes and subsidiary coin",2011-10-01,2189735
"South African bank notes and subsidiary coin",2011-11-01,2070693
"South African bank notes and subsidiary coin",2011-12-01,3489731
"South African bank notes and subsidiary coin",2012-01-01,2205080
"South African bank notes and subsidiary coin",2012-02-01,1872026
"South African bank notes and subsidiary coin",2012-03-01,2098527
"South African bank notes and subsidiary coin",2012-04-01,2533742
"South African bank notes and subsidiary coin",2012-05-01,2004827
"South African bank notes and subsidiary coin",2012-06-01,2087012
"South African bank notes and subsidiary coin",2012-07-01,2091797
"South African bank notes and subsidiary coin",2012-08-01,2278414
"South African bank notes and subsidiary coin",2012-09-01,1958469
"South African bank notes and subsidiary coin",2012-10-01,3083443
"South African bank notes and subsidiary coin",2012-11-01,3141370
"South African bank notes and subsidiary coin",2012-12-01,4676960
"South African bank notes and subsidiary coin",2013-01-01,3067527
"South African bank notes and subsidiary coin",2013-02-01,3119693
"South African bank notes and subsidiary coin",2013-03-01,3085991
"South African bank notes and subsidiary coin",2013-04-01,2902215
"South African bank notes and subsidiary coin",2013-05-01,2460886
"South African bank notes and subsidiary coin",2013-06-01,2729366
"South African bank notes and subsidiary coin",2013-07-01,3425849
"South African bank notes and subsidiary coin",2013-08-01,2925312
"South African bank notes and subsidiary coin",2013-09-01,3589936
"South African bank notes and subsidiary coin",2013-10-01,3645451
"South African bank notes and subsidiary coin",2013-11-01,3422330
"South African bank notes and subsidiary coin",2013-12-01,5289067
"South African bank notes and subsidiary coin",2014-01-01,3482342
"South African bank notes and subsidiary coin",2014-02-01,3751287
"South African bank notes and subsidiary coin",2014-03-01,3358244
"South African bank notes and subsidiary coin",2014-04-01,4062006
"South African bank notes and subsidiary coin",2014-05-01,2824715
"South African bank notes and subsidiary coin",2014-06-01,4312597
"South African bank notes and subsidiary coin",2014-07-01,3968618
"South African bank notes and subsidiary coin",2014-08-01,3568119
"South African bank notes and subsidiary coin",2014-09-01,4462522
"South African bank notes and subsidiary coin",2014-10-01,4847639
"South African bank notes and subsidiary coin",2014-11-01,3216858
"South African bank notes and subsidiary coin",2014-12-01,6274098
"South African bank notes and subsidiary coin",2015-01-01,3866127
"South African bank notes and subsidiary coin",2015-02-01,3450419
"South African bank notes and subsidiary coin",2015-03-01,5011966
"South African bank notes and subsidiary coin",2015-04-01,5303565
"South African bank notes and subsidiary coin",2015-05-01,3875039
"South African bank notes and subsidiary coin",2015-06-01,4717544
"South African bank notes and subsidiary coin",2015-07-01,4822119
"South African bank notes and subsidiary coin",2015-08-01,4486856
"South African bank notes and subsidiary coin",2015-09-01,5023718
"South African bank notes and subsidiary coin",2015-10-01,4808931
"South African bank notes and subsidiary coin",2015-11-01,5097389
"South African bank notes and subsidiary coin",2015-12-01,6446466
"South African bank notes and subsidiary coin",2016-01-01,4650001
"South African bank notes and subsidiary coin",2016-02-01,4520009
"South African bank notes and subsidiary coin",2016-03-01,5400532
"South African bank notes and subsidiary coin",2016-04-01,5196605
"South African bank notes and subsidiary coin",2016-05-01,5559062
"South African bank notes and subsidiary coin",2016-06-01,5271481
"South African bank notes and subsidiary coin",2016-07-01,4205389
"South African bank notes and subsidiary coin",2016-08-01,5360901
"South African bank notes and subsidiary coin",2016-09-01,5140234
"South African bank notes and subsidiary coin",2016-10-01,5010558
"South African bank notes and subsidiary coin",2016-11-01,4768511
"South African bank notes and subsidiary coin",2016-12-01,7092054
"South African bank notes and subsidiary coin",2017-01-01,5071753
"South African bank notes and subsidiary coin",2017-02-01,4896778
"South African bank notes and subsidiary coin",2017-03-01,5086847
"South African bank notes and subsidiary coin",2017-04-01,5592326
"South African bank notes and subsidiary coin",2017-05-01,5214626
"South African bank notes and subsidiary coin",2017-06-01,4781863
"South African bank notes and subsidiary coin",2017-07-01,5017247
"South African bank notes and subsidiary coin",2017-08-01,5646628
"South African bank notes and subsidiary coin",2017-09-01,5021730
"South African bank notes and subsidiary coin",2017-10-01,5200831
"South African bank notes and subsidiary coin",2017-11-01,5195167
"South African bank notes and subsidiary coin",2017-12-01,7085729
"South African bank notes and subsidiary coin",2018-01-01,5582409
"South African bank notes and subsidiary coin",2018-02-01,5065832
"South African bank notes and subsidiary coin",2018-03-01,6027368
"South African bank notes and subsidiary coin",2018-04-01,5598304
"South African bank notes and subsidiary coin",2018-05-01,5130109
"South African bank notes and subsidiary coin",2018-06-01,5182261
"South African bank notes and subsidiary coin",2018-07-01,5226487
"South African bank notes and subsidiary coin",2018-08-01,5252840
"South African bank notes and subsidiary coin",2018-09-01,5183583
"South African bank notes and subsidiary coin",2018-10-01,5888454
"South African bank notes and subsidiary coin",2018-11-01,4965621
"South African bank notes and subsidiary coin",2018-12-01,7326243
"South African bank notes and subsidiary coin",2019-01-01,5910027
"South African bank notes and subsidiary coin",2019-02-01,5267714
"South African bank notes and subsidiary coin",2019-03-01,5099983
"South African bank notes and subsidiary coin",2019-04-01,6007302
"South African bank notes and subsidiary coin",2019-05-01,5753226
"South African bank notes and subsidiary coin",2019-06-01,5553303
"South African bank notes and subsidiary coin",2019-07-01,5716153
"South African bank notes and subsidiary coin",2019-08-01,4025431
"South African bank notes and subsidiary coin",2019-09-01,5609830
"South African bank notes and subsidiary coin",2019-10-01,6272143
"South African bank notes and subsidiary coin",2019-11-01,6196504
"South African bank notes and subsidiary coin",2019-12-01,6098915
"South African bank notes and subsidiary coin",2020-01-01,5823754
"South African bank notes and subsidiary coin",2020-02-01,4572200
"South African bank notes and subsidiary coin",2020-03-01,4463103
"South African bank notes and subsidiary coin",2020-04-01,4887460
"South African bank notes and subsidiary coin",2020-05-01,4288337
"South African bank notes and subsidiary coin",2020-06-01,5088201
"South African bank notes and subsidiary coin",2020-07-01,5398860
"South African bank notes and subsidiary coin",2020-08-01,4986318
"South African bank notes and subsidiary coin",2020-09-01,6563206
"South African bank notes and subsidiary coin",2020-10-01,5249876
"South African bank notes and subsidiary coin",2020-11-01,6479033
"South African bank notes and subsidiary coin",2020-12-01,6398291
"South African bank notes and subsidiary coin",2021-01-01,4487053
"South African bank notes and subsidiary coin",2021-02-01,5636090
"South African bank notes and subsidiary coin",2021-03-01,6172672
"South African bank notes and subsidiary coin",2021-04-01,5136445
"South African bank notes and subsidiary coin",2021-05-01,4052766
"South African bank notes and subsidiary coin",2021-06-01,5632502
"South African bank notes and subsidiary coin",2021-07-01,4413053
"South African bank notes and subsidiary coin",2021-08-01,4407606
"South African bank notes and subsidiary coin",2021-09-01,5169655
"South African bank notes and subsidiary coin",2021-10-01,4813437
"South African bank notes and subsidiary coin",2021-11-01,4646493
"South African bank notes and subsidiary coin",2021-12-01,5013186
"South African bank notes and subsidiary coin",2022-01-01,4088857
"South African bank notes and subsidiary coin",2022-02-01,4012712
"South African bank notes and subsidiary coin",2022-03-01,6471193
"South African bank notes and subsidiary coin",2022-04-01,4051913
"South African bank notes and subsidiary coin",2022-05-01,6361078
"South African bank notes and subsidiary coin",2022-06-01,6417168
"South African bank notes and subsidiary coin",2022-07-01,4556694
"South African bank notes and subsidiary coin",2022-08-01,5689554
"South African bank notes and subsidiary coin",2022-09-01,2091244
"South African bank notes and subsidiary coin",2022-10-01,4365807
"South African bank notes and subsidiary coin",2022-11-01,4770918
"South African bank notes and subsidiary coin",2022-12-01,5571345
"South African bank notes and subsidiary coin",2023-01-01,3978037
"South African bank notes and subsidiary coin",2023-02-01,5411596
"South African bank notes and subsidiary coin",2023-03-01,5941081
"South African bank notes and subsidiary coin",2023-04-01,4575248
"South African bank notes and subsidiary coin",2023-05-01,4932569
"South African bank notes and subsidiary coin",2023-06-01,4191843
"South African bank notes and subsidiary coin",2023-07-01,3648072
"South African bank notes and subsidiary coin",2023-08-01,4331179
"Gold coin and bullion",2008-01-01,0
"Gold coin and bullion",2008-02-01,0
"Gold coin and bullion",2008-03-01,0
"Gold coin and bullion",2008-04-01,0
"Gold coin and bullion",2008-05-01,0
"Gold coin and bullion",2008-06-01,0
"Gold coin and bullion",2008-07-01,0
"Gold coin and bullion",2008-08-01,0
"Gold coin and bullion",2008-09-01,0
"Gold coin and bullion",2008-10-01,0
"Gold coin and bullion",2008-11-01,0
"Gold coin and bullion",2008-12-01,0
"Gold coin and bullion",2009-01-01,0
"Gold coin and bullion",2009-02-01,0
"Gold coin and bullion",2009-03-01,0
"Gold coin and bullion",2009-04-01,0
"Gold coin and bullion",2009-05-01,0
"Gold coin and bullion",2009-06-01,0
"Gold coin and bullion",2009-07-01,0
"Gold coin and bullion",2009-08-01,0
"Gold coin and bullion",2009-09-01,0
"Gold coin and bullion",2009-10-01,0
"Gold coin and bullion",2009-11-01,0
"Gold coin and bullion",2009-12-01,0
"Gold coin and bullion",2010-01-01,0
"Gold coin and bullion",2010-02-01,0
"Gold coin and bullion",2010-03-01,0
"Gold coin and bullion",2010-04-01,0
"Gold coin and bullion",2010-05-01,0
"Gold coin and bullion",2010-06-01,0
"Gold coin and bullion",2010-07-01,0
"Gold coin and bullion",2010-08-01,0
"Gold coin and bullion",2010-09-01,0
"Gold coin and bullion",2010-10-01,0
"Gold coin and bullion",2010-11-01,0
"Gold coin and bullion",2010-12-01,0
"Gold coin and bullion",2011-01-01,0
"Gold coin and bullion",2011-02-01,0
"Gold coin and bullion",2011-03-01,0
"Gold coin and bullion",2011-04-01,0
